"year","hyde_rural_population","hyde_urban_population","stadester_cities","stadester_ghsl_cities","stadester_rural_population","stadester_urban_population"
-10000,"4501152.5","0",,,3958750,
-9000,"5685901.5","1223.783",,,4061272.4339561393,
-8000,"7312165","2458.5264",,,7277632.087904077,
-7000,"9646581","5122.4126",,,8618560.284509502,
-6000,"13266823","11485.3",,,10555264.175808154,
-5000,"19129738","25959.426",,,13047961.230027454,
-4000,"28798508","60665.44",,,17756919.97877743,
-3000,"44434250","143634.17",6,6,24973976.06049884,142000
-2000,"72344590","340472.16",28,28,32564581.82943288,635729
-1000,"109772160","758302.3",30,30,58847738.000000015,1152262
0,"226659250","5609592",100,100,223595282.03578916,10202121
100,"230694780","6357399.5",99,99,182211933.85491326,9998358
200,"233648480","7113681",99,99,190050121.00000003,9949879
300,"220113570","7589285.5",103,103,206365523.91876584,10507898
400,"233050600","8646410",110,110,188161000.0808508,9386488
500,"243665150","9730661",112,112,194800861.2662233,10053086
600,"260419180","11219764",116,116,201880711.24255243,10761753
700,"266027220","12318848",820,820,207936418.03549817,12429678
800,"272812300","13057900",985,985,211372681.05961865,14621101
900,"296349600","14793082",1140,1140,238133341.5302215,16905495
1000,"307379620","16083006",1372,1372,269816535.5718613,18906247
1100,"377685120","20204762",1614,1614,316374992.1747756,21060999
1200,"421919500","22734506",1892,1892,344704038.9377065,23043366
1300,"428714800","27533272",2034,2034,382215938.28677547,25282423
1400,"416975580","25333648",2132,2132,408969014.2852426,28545789
1500,"473008670","30042424",2212,2212,437286745.2215729,31473532
1600,"478853540","37294070",2332,2332,471909942.780565,36086214
1700,"553209700","42247170",2441,2441,603887706.738291,43631223
1710,"573000770","44975116",2440,2440,741094524.6338937,43537578
1720,"600099140","48085664",2444,2444,740059082.6338937,44573020
1730,"620031200","50868756",2448,2448,738925899.6338937,45706203
1740,"647932300","54295470",2452,2452,737950526.6338937,46681576
1750,"694239040","59040230",2483,2483,818614355.360115,48255650
1760,"725651650","62603296",2481,2481,748540711.9188334,49640330
1770,"761399500","66552020",2485,2485,784723299.4607091,51189459
1780,"828231300","72713890",2488,2488,821137884.0025848,52506591
1790,"865037400","77224300",2505,2505,857121611.5444607,54254580
1800,"874651100","80241304",2654,2654,900966841.7168832,60265752
1810,"940320400","88611980",2823,2823,933500011.569595,61826893
1820,"971748700","93874940",2935,2935,998411113.628353,65472778
1830,"1042212000","105993464",2979,2979,1036915658.6823616,69464231
1840,"1094585300","115169090",3251,3251,1095494803.31187,75719075
1850,"1157141100","129892696",3370,3370,1109404188.3767815,84723585
1860,"1202794600","143299280",3528,3528,1169971995.267056,95976449
1870,"1190634400","156128800",3682,3682,1221920163.8489993,108240932
1880,"1245890300","181828720",3953,3953,1264870613.8714106,129343416
1890,"1328381200","220024530",4356,4356,1374143394.9364529,151672740
1900,"1399244500","271391140",8025,8025,1406661139.0994754,208395536
1910,"1473369500","326850000",9182,9182,1500584715.837807,256476756
1920,"1540364900","387492220",9400,9400,1581421031.5469637,311735964
1930,"1629928300","476477800",9922,9922,1713011302.0370731,356180402
1940,"1740759700","587700350",11247,11247,1850656831.1873426,436189241
1950,"1795072000","734496000",12281,12281,2009142304.374527,543105277
1951,"1818294700","753337600",12496,12496,2008802462.1037993,560736486
1952,"1842897500","775755900",12594,12594,2048971226.0676293,576567448
1953,"1866509200","798814600",12689,12689,2081279677.5880318,591098414
1954,"1888649600","823602900",12787,12787,2112272677.082367,607464223
1955,"1910723200","849212200",12893,12893,2151270381.936353,620333210
1956,"1933180800","875570400",12938,12938,2186528011.2750106,636610881
1957,"1956348400","902617200",12973,12973,2227141016.5730457,651634191
1958,"1980102000","930639900",13012,13012,2263337554.1872725,670194024
1959,"2004554000","959605250",13082,13082,2293726725.6198363,681028056
1960,"2029793700","989473400",13855,13855,2327098424.4958496,708883361
1961,"2055548900","1020287360",13918,13918,2347273813.520731,729751349
1962,"2081672700","1052657900",13955,13955,2396441964.2154975,747109720
1963,"2108659600","1086350600",14131,14131,2432198672.4082828,772524584
1964,"2137189900","1120985300",14112,14112,2486596032.62602,784043619
1965,"2170892500","1153090200",14261,14261,2531629658.0218105,806990843
1966,"2206465800","1186064900",14398,14398,2571414138.0136065,835546744
1967,"2243684400","1219920400",14470,14470,2619739069.1038656,858156020
1968,"2282001000","1254641800",14603,14603,2663882720.1956983,885992167
1969,"2320898800","1289976400",14628,14628,2699177544.539889,911437445
1970,"2359723500","1325972500",14950,14950,2752758251.5056834,946545933
1971,"2398215200","1362029300",14937,14937,2784968122.367068,977123896
1972,"2435206700","1399938300",14887,14887,2845779534.204838,1002036868
1973,"2471854800","1438599200",14903,14903,2895749102.403242,1028854525
1974,"2508224300","1478012400",14909,14909,2912677053.410377,1063030063
1975,"2546687500","1515848800",14840,8725,2897203865.958767,1172942712
1976,"2578178600","1558634400",14883,8725,2922478450.38523,1201134434
1977,"2609369600","1602260900",14941,8725,2986622790.5854564,1229326107
1978,"2639916800","1647009700",14942,8725,3032737522.1515746,1257517731
1979,"2670106000","1692526000",15011,8725,3060997364.3946314,1285709459
1980,"2699135500","1739301800",15186,8436,3242215756.5514526,1199343758
1981,"2733301200","1786318300",15487,8436,3277522098.0851965,1222756338
1982,"2768652300","1832483100",15523,8436,3348307947.6428804,1250892317
1983,"2800275000","1882747900",15614,8436,3399467947.5474606,1279028369
1984,"2830654000","1934674300",15754,8436,3455614899.1374664,1307164336
1985,"2859854000","1988223700",15950,9473,3466016203.690736,1379311687
1986,"2892381000","2043690200",16018,9473,3529855430.4257603,1401693662
1987,"2923911200","2100571500",16083,9473,3583398144.6339006,1434578239
1988,"2953638100","2159597600",16101,9473,3638688219.9589834,1467462876
1989,"2984046300","2218182700",16374,9473,3694616323.0658216,1500347472
1990,"3014152400","2277104400",16702,10494,3693888333.221552,1588078725
1991,"3041515500","2334408700",17075,10494,3759750729.650612,1609250791
1992,"3069405200","2391490000",17233,10494,3801372533.6963053,1650892266
1993,"3097330200","2448701400",17280,10494,3842767591.8470287,1692533675
1994,"3125172000","2506174000",17390,10494,3894682562.791872,1734175063
1995,"3152980700","2563817200",17438,11914,3862976420.666996,1833761683
