"region","year","name","colour","area","density","population","total"
"northern_america",0,"Northern America","#577aaf",0,0,0,0
"northern_america",100,"Northern America","#577aaf",0,0,0,0
"northern_america",200,"Northern America","#577aaf",0,0,0,0
"northern_america",300,"Northern America","#577aaf",0,0,0,0
"northern_america",400,"Northern America","#577aaf",0,0,0,0
"northern_america",500,"Northern America","#577aaf",0,0,0,0
"northern_america",600,"Northern America","#577aaf",0,0,0,0
"northern_america",700,"Northern America","#577aaf",0,0,0,0
"northern_america",800,"Northern America","#577aaf",0,0,0,0
"northern_america",900,"Northern America","#577aaf",0,0,0,0
"northern_america",1000,"Northern America","#577aaf",0,0,1,1
"northern_america",1100,"Northern America","#577aaf",0,0,1,1
"northern_america",1200,"Northern America","#577aaf",0,0,1,1
"northern_america",1300,"Northern America","#577aaf",0,0,1,1
"northern_america",1400,"Northern America","#577aaf",0,0,1,1
"northern_america",1500,"Northern America","#577aaf",0,0,2,2
"northern_america",1600,"Northern America","#577aaf",0,0,2,2
"northern_america",1700,"Northern America","#577aaf",0,0,4,4
"northern_america",1710,"Northern America","#577aaf",0,0,5,5
"northern_america",1720,"Northern America","#577aaf",0,0,6,6
"northern_america",1730,"Northern America","#577aaf",0,0,6,6
"northern_america",1740,"Northern America","#577aaf",0,0,6,6
"northern_america",1750,"Northern America","#577aaf",0,0,9,9
"northern_america",1760,"Northern America","#577aaf",0,0,9,9
"northern_america",1770,"Northern America","#577aaf",0,0,9,9
"northern_america",1780,"Northern America","#577aaf",0,0,10,10
"northern_america",1790,"Northern America","#577aaf",0,0,21,21
"northern_america",1800,"Northern America","#577aaf",30,30,30,90
"northern_america",1810,"Northern America","#577aaf",34,34,34,102
"northern_america",1820,"Northern America","#577aaf",36,36,36,108
"northern_america",1830,"Northern America","#577aaf",43,43,43,129
"northern_america",1840,"Northern America","#577aaf",57,57,57,171
"northern_america",1850,"Northern America","#577aaf",80,79,79,238
"northern_america",1860,"Northern America","#577aaf",102,101,101,304
"northern_america",1870,"Northern America","#577aaf",117,116,116,349
"northern_america",1880,"Northern America","#577aaf",128,127,127,382
"northern_america",1890,"Northern America","#577aaf",148,147,147,442
"northern_america",1900,"Northern America","#577aaf",980,979,979,2938
"northern_america",1910,"Northern America","#577aaf",1089,1088,1089,3266
"northern_america",1920,"Northern America","#577aaf",1122,1121,1121,3364
"northern_america",1930,"Northern America","#577aaf",1149,1147,1147,3443
"northern_america",1940,"Northern America","#577aaf",1604,1602,1602,4808
"northern_america",1950,"Northern America","#577aaf",1691,1689,1689,5069
"northern_america",1951,"Northern America","#577aaf",1736,1733,1737,5206
"northern_america",1952,"Northern America","#577aaf",1735,1732,1732,5199
"northern_america",1953,"Northern America","#577aaf",1735,1733,1733,5201
"northern_america",1954,"Northern America","#577aaf",1735,1733,1733,5201
"northern_america",1955,"Northern America","#577aaf",1735,1732,1732,5199
"northern_america",1956,"Northern America","#577aaf",1735,1732,1732,5199
"northern_america",1957,"Northern America","#577aaf",1735,1732,1732,5199
"northern_america",1958,"Northern America","#577aaf",1735,1731,1731,5197
"northern_america",1959,"Northern America","#577aaf",1735,1731,1731,5197
"northern_america",1960,"Northern America","#577aaf",1923,1918,1920,5761
"northern_america",1961,"Northern America","#577aaf",1938,1933,1939,5810
"northern_america",1962,"Northern America","#577aaf",1938,1933,1933,5804
"northern_america",1963,"Northern America","#577aaf",1938,1933,1933,5804
"northern_america",1964,"Northern America","#577aaf",1938,1933,1933,5804
"northern_america",1965,"Northern America","#577aaf",1938,1932,1932,5802
"northern_america",1966,"Northern America","#577aaf",1942,1937,1938,5817
"northern_america",1967,"Northern America","#577aaf",1942,1937,1937,5816
"northern_america",1968,"Northern America","#577aaf",1942,1937,1937,5816
"northern_america",1969,"Northern America","#577aaf",1942,1937,1937,5816
"northern_america",1970,"Northern America","#577aaf",2025,2020,2025,6070
"northern_america",1971,"Northern America","#577aaf",2048,2042,2051,6141
"northern_america",1972,"Northern America","#577aaf",2048,2043,2043,6134
"northern_america",1973,"Northern America","#577aaf",2048,2043,2043,6134
"northern_america",1974,"Northern America","#577aaf",2048,2043,2043,6134
"northern_america",1975,"Northern America","#577aaf",114,114,114,342
"northern_america",1976,"Northern America","#577aaf",114,114,114,342
"northern_america",1977,"Northern America","#577aaf",114,114,114,342
"northern_america",1978,"Northern America","#577aaf",114,114,114,342
"northern_america",1979,"Northern America","#577aaf",114,114,114,342
"northern_america",1980,"Northern America","#577aaf",128,128,128,384
"northern_america",1981,"Northern America","#577aaf",128,128,128,384
"northern_america",1982,"Northern America","#577aaf",128,128,128,384
"northern_america",1983,"Northern America","#577aaf",128,128,128,384
"northern_america",1984,"Northern America","#577aaf",128,128,128,384
"northern_america",1985,"Northern America","#577aaf",135,135,135,405
"northern_america",1986,"Northern America","#577aaf",135,135,135,405
"northern_america",1987,"Northern America","#577aaf",135,135,135,405
"northern_america",1988,"Northern America","#577aaf",135,135,135,405
"northern_america",1989,"Northern America","#577aaf",135,135,135,405
"northern_america",1990,"Northern America","#577aaf",149,149,149,447
"northern_america",1991,"Northern America","#577aaf",149,149,149,447
"northern_america",1992,"Northern America","#577aaf",149,149,149,447
"northern_america",1993,"Northern America","#577aaf",149,149,149,447
"northern_america",1994,"Northern America","#577aaf",149,149,149,447
"northern_america",1995,"Northern America","#577aaf",190,190,190,570
"northern_america",1996,"Northern America","#577aaf",190,190,190,570
"northern_america",1997,"Northern America","#577aaf",190,190,190,570
"northern_america",1998,"Northern America","#577aaf",190,190,190,570
"northern_america",1999,"Northern America","#577aaf",190,190,190,570
"northern_america",2000,"Northern America","#577aaf",223,223,223,669
"northern_america",2001,"Northern America","#577aaf",223,223,223,669
"northern_america",2002,"Northern America","#577aaf",223,223,223,669
"northern_america",2003,"Northern America","#577aaf",223,223,223,669
"northern_america",2004,"Northern America","#577aaf",223,223,223,669
"northern_america",2005,"Northern America","#577aaf",254,254,254,762
"northern_america",2006,"Northern America","#577aaf",254,254,254,762
"northern_america",2007,"Northern America","#577aaf",254,254,254,762
"northern_america",2008,"Northern America","#577aaf",254,254,254,762
"northern_america",2009,"Northern America","#577aaf",254,254,254,762
"northern_america",2010,"Northern America","#577aaf",299,299,299,897
"northern_america",2011,"Northern America","#577aaf",299,299,299,897
"northern_america",2012,"Northern America","#577aaf",299,299,299,897
"northern_america",2013,"Northern America","#577aaf",299,299,299,897
"northern_america",2014,"Northern America","#577aaf",299,299,299,897
"northern_america",2015,"Northern America","#577aaf",333,333,333,999
"northern_america",2016,"Northern America","#577aaf",333,333,333,999
"northern_america",2017,"Northern America","#577aaf",333,333,333,999
"northern_america",2018,"Northern America","#577aaf",333,333,333,999
"northern_america",2019,"Northern America","#577aaf",333,333,333,999
"northern_america",2020,"Northern America","#577aaf",370,370,370,1110
"northern_america",2021,"Northern America","#577aaf",333,333,333,999
"northern_america",2022,"Northern America","#577aaf",333,333,333,999
"northern_america",2023,"Northern America","#577aaf",333,333,333,999
"northern_america",-1000,"Northern America","#577aaf",0,0,0,0
"northern_america",-2000,"Northern America","#577aaf",0,0,0,0
"northern_america",-3000,"Northern America","#577aaf",0,0,0,0
"northern_america",-4000,"Northern America","#577aaf",0,0,0,0
"northern_america",-5000,"Northern America","#577aaf",0,0,0,0
"northern_america",-6000,"Northern America","#577aaf",0,0,0,0
"northern_america",-7000,"Northern America","#577aaf",0,0,0,0
"northern_america",-8000,"Northern America","#577aaf",0,0,0,0
"northern_america",-9000,"Northern America","#577aaf",0,0,0,0
"northern_america",-10000,"Northern America","#577aaf",0,0,0,0
"northern_america",2024,"Northern America","#577aaf",333,333,333,999
"northern_america",2025,"Northern America","#577aaf",387,387,387,1161
"latin_america",0,"Latin America","#47a565",0,0,6,6
"latin_america",100,"Latin America","#47a565",0,0,6,6
"latin_america",200,"Latin America","#47a565",0,0,6,6
"latin_america",300,"Latin America","#47a565",0,0,6,6
"latin_america",400,"Latin America","#47a565",0,0,6,6
"latin_america",500,"Latin America","#47a565",0,0,6,6
"latin_america",600,"Latin America","#47a565",0,0,6,6
"latin_america",700,"Latin America","#47a565",0,0,6,6
"latin_america",800,"Latin America","#47a565",0,0,8,8
"latin_america",900,"Latin America","#47a565",0,0,6,6
"latin_america",1000,"Latin America","#47a565",0,0,6,6
"latin_america",1100,"Latin America","#47a565",0,0,7,7
"latin_america",1200,"Latin America","#47a565",0,0,8,8
"latin_america",1300,"Latin America","#47a565",0,0,11,11
"latin_america",1400,"Latin America","#47a565",0,0,14,14
"latin_america",1500,"Latin America","#47a565",0,0,22,22
"latin_america",1600,"Latin America","#47a565",0,0,42,42
"latin_america",1700,"Latin America","#47a565",0,0,50,50
"latin_america",1710,"Latin America","#47a565",0,0,50,50
"latin_america",1720,"Latin America","#47a565",0,0,50,50
"latin_america",1730,"Latin America","#47a565",0,0,50,50
"latin_america",1740,"Latin America","#47a565",0,0,51,51
"latin_america",1750,"Latin America","#47a565",0,0,54,54
"latin_america",1760,"Latin America","#47a565",0,0,54,54
"latin_america",1770,"Latin America","#47a565",0,0,57,57
"latin_america",1780,"Latin America","#47a565",0,0,58,58
"latin_america",1790,"Latin America","#47a565",0,0,62,62
"latin_america",1800,"Latin America","#47a565",82,82,82,246
"latin_america",1810,"Latin America","#47a565",82,82,82,246
"latin_america",1820,"Latin America","#47a565",85,85,85,255
"latin_america",1830,"Latin America","#47a565",89,89,89,267
"latin_america",1840,"Latin America","#47a565",92,92,92,276
"latin_america",1850,"Latin America","#47a565",110,110,111,331
"latin_america",1860,"Latin America","#47a565",135,135,135,405
"latin_america",1870,"Latin America","#47a565",172,172,172,516
"latin_america",1880,"Latin America","#47a565",283,283,283,849
"latin_america",1890,"Latin America","#47a565",355,354,354,1063
"latin_america",1900,"Latin America","#47a565",651,650,650,1951
"latin_america",1910,"Latin America","#47a565",884,883,883,2650
"latin_america",1920,"Latin America","#47a565",957,956,956,2869
"latin_america",1930,"Latin America","#47a565",1074,1071,1071,3216
"latin_america",1940,"Latin America","#47a565",1314,1312,1312,3938
"latin_america",1950,"Latin America","#47a565",1796,1789,1790,5375
"latin_america",1951,"Latin America","#47a565",1796,1789,1789,5374
"latin_america",1952,"Latin America","#47a565",1840,1833,1834,5507
"latin_america",1953,"Latin America","#47a565",1845,1837,1837,5519
"latin_america",1954,"Latin America","#47a565",1875,1867,1867,5609
"latin_america",1955,"Latin America","#47a565",1875,1867,1867,5609
"latin_america",1956,"Latin America","#47a565",1875,1866,1866,5607
"latin_america",1957,"Latin America","#47a565",1875,1866,1866,5607
"latin_america",1958,"Latin America","#47a565",1875,1866,1866,5607
"latin_america",1959,"Latin America","#47a565",1875,1865,1865,5605
"latin_america",1960,"Latin America","#47a565",2062,2051,2053,6166
"latin_america",1961,"Latin America","#47a565",2108,2097,2107,6312
"latin_america",1962,"Latin America","#47a565",2124,2114,2114,6352
"latin_america",1963,"Latin America","#47a565",2219,2209,2209,6637
"latin_america",1964,"Latin America","#47a565",2223,2213,2215,6651
"latin_america",1965,"Latin America","#47a565",2229,2218,2218,6665
"latin_america",1966,"Latin America","#47a565",2226,2215,2215,6656
"latin_america",1967,"Latin America","#47a565",2250,2239,2245,6734
"latin_america",1968,"Latin America","#47a565",2367,2356,2356,7079
"latin_america",1969,"Latin America","#47a565",2379,2368,2369,7116
"latin_america",1970,"Latin America","#47a565",2475,2462,2485,7422
"latin_america",1971,"Latin America","#47a565",2459,2446,2455,7360
"latin_america",1972,"Latin America","#47a565",2465,2453,2453,7371
"latin_america",1973,"Latin America","#47a565",2495,2482,2482,7459
"latin_america",1974,"Latin America","#47a565",2483,2470,2483,7436
"latin_america",1975,"Latin America","#47a565",372,372,372,1116
"latin_america",1976,"Latin America","#47a565",372,372,372,1116
"latin_america",1977,"Latin America","#47a565",372,372,372,1116
"latin_america",1978,"Latin America","#47a565",372,372,372,1116
"latin_america",1979,"Latin America","#47a565",372,372,372,1116
"latin_america",1980,"Latin America","#47a565",446,446,446,1338
"latin_america",1981,"Latin America","#47a565",446,446,446,1338
"latin_america",1982,"Latin America","#47a565",446,446,446,1338
"latin_america",1983,"Latin America","#47a565",446,446,446,1338
"latin_america",1984,"Latin America","#47a565",446,446,446,1338
"latin_america",1985,"Latin America","#47a565",514,514,514,1542
"latin_america",1986,"Latin America","#47a565",514,514,514,1542
"latin_america",1987,"Latin America","#47a565",514,514,514,1542
"latin_america",1988,"Latin America","#47a565",514,514,514,1542
"latin_america",1989,"Latin America","#47a565",514,514,514,1542
"latin_america",1990,"Latin America","#47a565",576,576,576,1728
"latin_america",1991,"Latin America","#47a565",576,576,576,1728
"latin_america",1992,"Latin America","#47a565",576,576,576,1728
"latin_america",1993,"Latin America","#47a565",576,576,576,1728
"latin_america",1994,"Latin America","#47a565",576,576,576,1728
"latin_america",1995,"Latin America","#47a565",673,673,673,2019
"latin_america",1996,"Latin America","#47a565",673,673,673,2019
"latin_america",1997,"Latin America","#47a565",673,673,673,2019
"latin_america",1998,"Latin America","#47a565",673,673,673,2019
"latin_america",1999,"Latin America","#47a565",673,673,673,2019
"latin_america",2000,"Latin America","#47a565",752,752,752,2256
"latin_america",2001,"Latin America","#47a565",752,752,752,2256
"latin_america",2002,"Latin America","#47a565",752,752,752,2256
"latin_america",2003,"Latin America","#47a565",752,752,752,2256
"latin_america",2004,"Latin America","#47a565",752,752,752,2256
"latin_america",2005,"Latin America","#47a565",829,829,829,2487
"latin_america",2006,"Latin America","#47a565",829,829,829,2487
"latin_america",2007,"Latin America","#47a565",829,829,829,2487
"latin_america",2008,"Latin America","#47a565",829,829,829,2487
"latin_america",2009,"Latin America","#47a565",829,829,829,2487
"latin_america",2010,"Latin America","#47a565",899,899,899,2697
"latin_america",2011,"Latin America","#47a565",899,899,899,2697
"latin_america",2012,"Latin America","#47a565",899,899,899,2697
"latin_america",2013,"Latin America","#47a565",899,899,899,2697
"latin_america",2014,"Latin America","#47a565",899,899,899,2697
"latin_america",2015,"Latin America","#47a565",976,976,976,2928
"latin_america",2016,"Latin America","#47a565",976,976,976,2928
"latin_america",2017,"Latin America","#47a565",976,976,976,2928
"latin_america",2018,"Latin America","#47a565",976,976,976,2928
"latin_america",2019,"Latin America","#47a565",976,976,976,2928
"latin_america",2020,"Latin America","#47a565",1042,1042,1042,3126
"latin_america",2021,"Latin America","#47a565",976,976,976,2928
"latin_america",2022,"Latin America","#47a565",976,976,976,2928
"latin_america",2023,"Latin America","#47a565",976,976,976,2928
"latin_america",-1000,"Latin America","#47a565",0,0,0,0
