"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Karachi","",0,0,0,0,0,0,4538446.999999999,21031703,834,25218
"#2.","Lahore; Sheikhupura; Ferozewala","",0,0,0,0,0,0,4315449.000000003,14305060,898,15930
"#3.","Kabul; Paghman","",0,0,0,0,0,0,722632.0000000006,6254679,371,16859
"#4.","Faisalabad","",0,0,0,0,0,0,1075365.0000000007,5676793,326,17413
"#5.","Rawalpindi; Islamabad","",0,0,0,0,0,0,794067.0000000002,4913528,550,8934
"#6.","Tashkent","",0,0,0,0,0,0,2154942.9999999995,3874653,598,6479
"#7.","Drigh Road Cantonment","",0,0,0,0,114000,1004800,0,0,472.71784072537525,13923.582215447736
"#8.","Peshawar","",0,0,0,0,0,0,777979.9999999998,3497359,508,6885
"#9.","Gujranwala","",0,0,0,0,0,0,748852.0000000002,3108698,231,13458
"#10.","Multan","",0,0,0,0,0,0,777806.0000000005,2970059,268,11710
"#11.","Hyderabad; Kotri","",0,0,0,0,0,0,874489.0000000005,2956488,144,20531
"#12.","Almaty","",0,0,0,0,0,0,857780.9999999999,2315538,331,6996
"#13.","Lahore","Lahaur, Lâhawr",0,0,254082,80014,200390,831720,0,0,265.4093852903352,17474.23808600105
"#14.","Sialkot","",0,0,0,0,0,0,444758.00000000006,1830744,180,11722.999999999989
"#15.","To`skent","Tashkent, Ta`skent, Toshkent",0,0,0,0,159557,709882,0,0,162.5548372274392,34035.8968983563
"#16.","Tashkent","",0,0,0,30000,177880,786997,0,0,212.61589209089487,16503.391107761872
"#17.","Herat","",0,0,0,0,0,0,184387.99999999985,1489156,88,16922
"#18.","Dushanbe","",0,0,0,0,0,0,481550.00000000023,1471812,183,8241.999999999995
"#19.","Bishkek","",0,0,0,0,0,0,565192.9999999999,1428079,198,7213
"#20.","Mardan","",0,0,0,0,0,0,181416.0000000001,1291183,215,6978.000000000003
"#21.","Shymkent","",0,0,0,0,0,0,242140.99999999988,1239663,240,5165
