"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Shenzhen; Guangzhou; Foshan; Dongguan; Jiangmen; Shunde; Zhongshan; Chancheng; Liwan District; Haizhu District; Panyu; Jianghai; Guangming; Nanshan District; Longhua; Futian District; Bao'an District; Luohu District; Longgang; Tianhe District; Yuexiu District; Baiyun District; Nanhai; Pengjiang","",0,0,0,0,0,0,2142321.0000000014,42987704,6454,6661
"#2.","Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya; Ota; Nerima; Adachi; Edogawa; Funabashi; Kawaguchi; Itabashi; Hachioji; Suginami; Koto; Ichikawa; Matsudo; Katsushika; Fujisawa; Machida; Shinagawa; Kashiwa; Yokosuka; Kawagoe; Kita; Shinjuku; Koshigaya; Tokorozawa; Nakano; Toshima; Meguro; Sumida; Ichihara; Fuchu; Hiratsuka; Minato; Soka; Chigasaki; Yamato; Kasukabe; Chofu; Shibuya; Bunkyo; Ageo; Atsugi; Arakawa; Taito; Nishitokyo; Yachiyo; Kodaira; Mitaka; Odawara; Nagareyama; Tachikawa; Narashino; Kamakura; Sakura; Hino; Hadano; Urayasu; Niiza; Chuo; Noda; Sayama; Kuki; Higashimurayama; Iruma; Tama; Asaka; Musashino; Koga; Misato; Toda; Abiko; Ebina; Zama; Kokubunji; Koganei; Konosu; Higashikurume; Fujimino; Akishima; Kamagaya; Fujimi; Toride; Sakado; Isehara; Yotsukaido; Inagi; Yashio; Higashiyamato; Ayase; Wako; Akiruno; Gyoda; Hanno; Komae; Kiyose; Okegawa; Kunitachi; Shiki; Warabi; Yoshikawa; Musashimurayama; Tsurugashima; Moriya; Kitamoto; Shiroi; Sodegaura; Hasuda; Fussa; Zushi; Hidaka; Hamura; Shiraoka; Satte; Chiyoda; Minamiashigara","",0,0,0,0,0,0,24049534.000000022,33155907,5191.000000000003,6453.000000000003
"#3.","Shanghai; Pudong; Taicang; Baoshan District; Putuo District; Changning District; Jing'an District; Xuhui District; Hongkou District; Huangpu District; Yangpu District; Qingpu; Songjiang; Minhang; Jiading; Fengxian District","",0,0,0,0,0,0,4557237,30678616,3128,9808
"#4.","Seoul; Incheon; Suwon; Goyang; Seongnam; Bucheon; Namyangju; Ansan-si; Anyang; Uijeongbu; Siheung; Gwangmyeong; Gunpo; Hanam; Osan; Guri; Uiwang; Gwacheon","",0,0,0,0,0,0,10122207.999999993,22261692,2282,12474.999999999993
"#5.","Beijing; Shunyi; Mentougou; Dongcheng; Chaoyang; Haidian; Xicheng; Fengtai; Shijingshan; Daxing","",0,0,0,0,0,0,5152867.000000005,18150576,2179,8803.000000000002
"#6.","Osaka; Kobe; Kyoto; Sakai; Higashiosaka; Nishinomiya; Amagasaki; Hirakata; Toyonaka; Suita; Takatsuki; Akashi; Ibaraki; Yao; Kakogawa; Neyagawa; Itami; Kishiwada; Uji; Kawanishi; Moriguchi; Kadoma; Daito; Matsubara; Habikino; Kawachinagano; Ikeda; Izumisano; Ashiya; Takasago; Kaizuka; Settsu; Nagaokakyo; Katano; Izumiotsu; Yawata; Kashiwara; Fujiidera; Sennan; Hannan; Osakasayama; Takaishi; Muko; Shimamoto","",0,0,0,0,0,0,14334670.999999981,12653994,2245.9999999999995,6914.999999999997
"#7.","Suzhou; Wuxi; Suzhou Industrial Park; Binhu; Xinwu; Liangxi; Xishan; Huishan; Gusu District; Xiangcheng District; Wuzhong District; Kunshan; Wujiang","",0,0,0,0,0,0,1788252.0000000014,11540430,1802,6404
"#8.","Jieyang; Shantou; Chaozhou; Puning; Chaonan; Chaoyang; Jinping; Longhu; Chao'an; Rongcheng District; Xiangqiao; Jiedong County","",0,0,0,0,0,0,1304253.9999999993,10579303,1961,5395
"#9.","New Taipei; Taipei; Taoyuan; Keelung","",0,0,0,0,0,0,3722611.0000000033,9686521,972,9966
"#10.","Shanghai","Shang-hai",100000,100000,100000,93052,551042,5135560,0,0,1198.0054685696223,39973.17665405058
"#11.","Chongqing; Dadukou; Jiulongpo; Banan; Liangjiang New Area; Shapingba; Yuzhong; Yubei; Jiangbei","",0,0,0,0,0,0,1522699.0000000012,8449690,653,12940
"#12.","Wuhan; Hongshan; Hanyang District; Wuchang District; Dongxihu District; Qiaokou District; Jianghan District; Jiang'an District; Qingshan District","",0,0,0,0,0,0,1729128.000000001,8079484,772,10466
"#13.","Nanjing; Luhe; Pukou; Jianye District; Xuanwu District; Yuhuatai District; Jiangning; Qinhuai District; Gulou District; Qixia District; ????","",0,0,0,0,0,0,1753285.0000000012,8061029,1012,7965
"#14.","Nagoya; Gifu; Ichinomiya; Yokkaichi; Kasugai; Tsu; Suzuka; Anjo; Ogaki; Kariya; Komaki; Kakamigahara; Kuwana; Seto; Handa; Tokai; Konan; Obu; Nisshin; Ama; Kitanagoya; Chita; Owariasahi; Hekinan; Chiryu; Toyoake; Kiyosu; Hashima; Miyoshi; Tsushima; Mizuho; Iwakura; Takahama; Yamagata","",0,0,0,0,0,0,6086668.000000004,7721742,2400.999999999999,3355.000000000001
"#15.","Tianjin; Nankai; Hedong; Hexi; Hebei; Hongqiao; Heping; Xiqing; Beichen; Dongli District","",0,0,0,0,0,0,2603433.0000000014,7330648,671,11999
"#16.","Chengdu; Jinjiang; Tianfu New Area; Shuangliu; Wuhou; Qingyang; Chenghua; Jinniu; Pidu; Xindu","",0,0,0,0,0,0,2805561.999999999,5609627,879.9999999999998,8906.999999999998
"#17.","Hangzhou; Shaoxing; Xiaoshan District; Xihu District; Gongshu District; Keqiao; Yuhang District; Linping; Shangcheng; Binjiang District; Yuecheng","",0,0,0,0,0,0,1110320.9999999995,6387064,1546.9999999999995,5497.000000000002
"#18.","Sõul","Seoul, Keijo, Kyõngsong",0,0,125000,192217,211200,1536818,0,0,785.2874458905591,19511.64816274316
"#19.","Shenyang; Tiexi; Yuhong; Huanggu; Shenhe; Dadong; Heping; Sujiatun; Shenbei; Hunnan","",0,0,0,0,0,0,3863040.0000000014,6175250,748,11960.000000000011
"#20.","Beijing","Peking, Pei-ching, Peiping, Khanbalik",0,60000,671925,1137081,1648800,2069040,0,0,354.070100780674,68609.35567199007
"#21.","Hefei; Shushan; Yaohai; Baohe; Luyang; Feixi; Feidong","",0,0,0,0,0,0,1345179.9999999993,5646049,606,9317
"#22.","Xi'an; Yanta; Jingkai; Weiyang; Lianhu; Gaoxin; Qujiang New District; Hangtianjidi; Changan; Xixian New Area; Beilin; Xincheng; Baqiao; Chanba","",0,0,0,0,0,0,1562166.000000001,5298992,691,7947.000000000003
"#23.","Zhengzhou; Jinshui District; Huiji; Zhongyuan; Erqi; Guancheng","",0,0,0,0,0,0,975547.0000000005,5126112,642,8671
"#24.","Hong Kong; Kowloon","",0,0,0,0,0,0,2876103.999999998,4807599,220,22195.999999999985
"#25.","Harbin; Daoli; Nangang; Daowai; Pingfang; Xiangfang","",0,0,0,0,0,0,1719534.0000000012,4591886,471,9749
"#26.","Tôkyô","Edo, Yedo, Yeddo, Tokio",0,0,0,485000,888621,1623074,0,0,302.2864803620071,101447.48777360079
"#27.","Tianjin","Tientsin, T'ien-chin",0,0,0,130068,930000,2089120,0,0,577.5867495204398,17103.09191685495
"#28.","Taiyuan; Yingze; Xiaodian; Jiancaoping; Wanbailin; Xinghualing","",0,0,0,0,0,0,778228.9999999995,4332180,367,11804
"#29.","Wenzhou; Ouhai; Longwan; Rui'an; Lucheng","",0,0,0,0,0,0,1967716.0000000007,3838182,546,7662.000000000004
"#30.","�r�mqi; Xinshi; Saybagh; Tianshan; Shuimogou; Midong; ????","",0,0,0,0,0,0,940601.0000000002,3974257,355,11195
"#31.","Jinan; Changqing; Shizhong; Licheng; Lixia; Gaoxin; Tianqiao; Huaiyin","",0,0,0,0,0,0,1271207.9999999998,3824875,562,7896.999999999998
"#32.","Beijiao","North Point",0,0,0,0,192000,1560000,0,0,403.90801575076887,12060.27649788673
"#33.","Busan","",0,0,0,0,0,0,2427395.000000002,3263408,378.0000000000001,10610.99999999999
"#34.","Dalian","Dairen, Luda, Luda, Lu-ta, Talien, T'alien, Dalnji, Dalny",0,0,0,0,0,632960,0,0,423.9131103273216,14269.084492546112
"#35.","Nanning; Xixiangtang; Xingning; Jiangnan","",0,0,0,0,0,0,583960.9999999997,3695575,256,14436
"#36.","Qingdao; Shinan; Shibei; Laoshan; Licang; Chengyang; Jimo","",0,0,0,0,0,0,900817.0000000003,3682893,589,6830.000000000002
"#37.","Nanchang; Nanchang; Qingyunpu; Xinjian; Xihu; Donghu; Honggutan; Qingshanhu","",0,0,0,0,0,0,1027645.0000000007,3641447,506.0000000000001,9427.999999999996
"#38.","Dalian; Ganjingzi; Shahekou; Zhongshan; Xigang; Jinzhou","",0,0,0,0,0,0,1554992,3599519,516,8395.000000000007
"#39.","Changchun; Kuancheng; Luyuan; Nanguan; Erdao; Chaoyang","",0,0,0,0,0,0,1881324.9999999984,3519692,411,12128.999999999996
"#40.","Quanzhou; Fengze; Luojang; Shishi; Licheng","",0,0,0,0,0,0,885775.9999999995,3384624,801.0000000000003,4508.999999999998
"#41.","Changsha; Yuelu; Kaifu; Changsha; Furong; Tianxin; Yuhua","",0,0,0,0,0,0,1229936.0000000005,3246971,429,8662.000000000002
"#42.","Kunming; Xishan; Wuhua; Panlong; Guandu","",0,0,0,0,0,0,512200.9999999997,3218010,362,8961.999999999995
"#43.","Shijiazhuang; Qiaoxi; Chang'an; Yuhua; Luquan; Xinhua","",0,0,0,0,0,0,1002523.0000000002,3100270,494.00000000000017,7889.999999999998
"#44.","Shenyang","Mukden, Shen-yang, Fengtien, Moukden",0,0,125330,200000,123208,1592560,0,0,10.95890410958904,342112.08770846203
"#45.","Ningbo; Yinzhou District; Haishu District; Jiangbei District","",0,0,0,0,0,0,343928.99999999994,2953172,523,5647
"#46.","Fuzhou; Cangshan; Jin'an; Gulou; Taijiang","",0,0,0,0,0,0,917636.0000000007,2880410,259.99999999999994,11252
"#47.","Guangzhou","Canton, Kwangchow, Kuang-chou, Kanton",0,200000,175000,776975,659375,1487960,0,0,184.57022547261732,44408.92838339966
"#48.","P'y?ngyang","",0,0,0,0,0,0,1453176.0000000007,2868313,228,13094.99999999999
"#49.","Wuhan","Hankow, Hankou, Wu-han, Wuchang",0,84563,67500,159274,816905,1419320,0,0,208.81169315518906,31040.7513367156
"#50.","Changzhou; Wujin; Changzhou Economic Development District; Tianning; Zhonglou; Xinbei","",0,0,0,0,0,0,346585.9999999998,2772878,613,4735
"#51.","Chongqing","Chungking, Ch'ung-ch'ing, Yu, Tchongking, Pahsien",0,0,0,53085,437732,1332400,0,0,364.44451924583495,15964.845251774746
"#52.","Guiyang; ????; Wudang; Baiyun; Yunyan; Nanming","",0,0,0,0,0,0,1009345.0000000005,2757868,302,9255
"#53.","Lanzhou; Xigu; Chengguan; Anning; Qilihe","",0,0,0,0,0,0,1176167.000000001,2689402,250,10758
"#54.","Tangshan; Fengnan; Lubei; Lunan; Guye; Kaiping","",0,0,0,0,0,0,722208,2651179,455,5827
"#55.","Nantong; Chongchuan District; Tongzhou","",0,0,0,0,0,0,471996.99999999965,2608604,658,5488.000000000005
"#56.","Yokohama","",0,0,0,0,237867,900867,0,0,341.0884121258913,19584.224272823834
"#57.","Ôsaka","",0,0,0,324192,644303,0,0,0,200.88069787806103,66805.93784999455
"#58.","Daegu; Gyeongsan-si","",0,0,0,0,0,0,1511603.0000000005,2300085,289.00000000000006,9563.999999999998
"#59.","Putian; Xiuyu; Chengxiang; Licheng; Hanjiang","",0,0,0,0,0,0,352534.99999999977,2463177,453,5437
"#60.","Taichung","",0,0,0,0,0,0,1487970.9999999998,2318377,313,7750.000000000004
"#61.","Pusan","Busan, Fusan, Husan",0,0,0,28000,68500,535818,0,0,374.1664352733319,24973.83289190864
"#62.","Harbin","Ha'erbin, Ha-erh-pin, Pinkiang, Pingkiang, Charbin, Kharbin",0,0,0,0,40510,921200,0,0,147.7302646971739,72683.50203715698
"#63.","Kaohsiung","",0,0,0,0,0,0,1520290.000000001,2294772,374.99999999999994,6169
"#64.","Fukuoka; Kasuga; Chikushino; Onojo; Itoshima; Munakata; Dazaifu; Fukutsu; Koga; Nakagawa","",0,0,0,0,0,0,1834066.9999999986,2213305,450,5137.000000000002
"#65.","Zhuhai; Macau; Xiangzhou","",0,0,0,0,0,0,309100.00000000006,2253273,274,16268.000000000013
"#66.","Taiyuan","Taiyuan, Yanggu, Yangku, T'ai-yuan",0,30776,61328,40209,273810,408280,0,0,271.574922198441,25082.905218816355
"#67.","Wuhu; Jiujiang; Jinghu; Yijiang","",0,0,0,0,0,0,373541.9999999997,2137949,197,10853
"#68.","Handan; Hanshan; Congtai; Fuxing","",0,0,0,0,0,0,244792.9999999998,2099937,251,8366
"#69.","Hohhot; Xincheng; Huimin; Saihan; Yuquan","",0,0,0,0,0,0,821333.9999999997,2029813,315,8984.999999999995
"#70.","Sapporo; Ebetsu","",0,0,0,0,0,0,1506165.0000000007,1931424,353,6112.000000000003
"#71.","Nunjiang","Nenjiang",0,100000,150000,50000,260260,1180000,0,0,257.18911857075653,18250
"#72.","Yinchuan; Jinfeng; Xingqing; Xixia","",0,0,0,0,0,0,246514.00000000015,1913287,253.00000000000003,7562
"#73.","Lanzhou","Lanchow, Kao lan, Gaolan, Lan-chou",0,16919,22306,83678,294667,293200,0,0,38.29986684253112,1388816.5611749268
"#74.","Xiamen City; Siming; Huli","",0,0,0,0,0,0,461121.9999999997,1676987,186.00000000000009,11859.999999999996
"#75.","T'aipei","Taibei, Tai-pei, Taipeh, Taihôku, Thaipefu",0,0,0,0,43204,542028,0,0,211.18590404557074,30148.100941156128
"#76.","Luoyang; Jianxi District; Xigong; Chanhe Hui District; Luoyang High-tech Zone; Laocheng; Luolong","",0,0,0,0,0,0,760671.9999999994,1603585,355.00000000000006,5332.000000000004
"#77.","Xi'an","Sian, Hsi-an, Chang'an, Sianfu, Si-ngan, Singan-fu, Siking, Ch'ang-an",419802,600000,126000,224274,251000,581344,0,0,168.99429294889626,21212.6707337323
