"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Moscow; Balashikha; Mytishchi; Khimki; Korolyov; Lyubertsy; Krasnogorsk; Shchyolkovo; Dolgoprudny; Pushkino","",0,0,0,0,0,0,8507092.000000004,14384082,1545,9365.999999999998
"#2.","Moskva","Moscow",0,0,80963,246975,1087544,4344742,0,0,1187.8903952721435,18995.848761571204
"#3.","Saint Petersburg","",0,0,0,0,0,0,3653521.999999998,4878966,550,8871
"#4.","St Petersburg","",0,0,0,245007,1290648,3009500,0,0,378.5260517155064,19088.287706410923
"#5.","Kyiv","",0,0,0,0,0,0,1935538.0000000014,2575199,422.0000000000001,7286
"#6.","Minsk","",0,0,0,0,0,0,1073408.999999999,2093512,245,8589.999999999998
"#7.","Kyjiv","Kiev, Kiïv, Kyyiv",0,44044,40000,19921,257060,938121,0,0,308.23036609190615,17390.313642400353
"#8.","Kharkiv","",0,0,0,0,0,0,1411281.0000000005,1284380,238.00000000000009,7051.0000000000055
"#9.","Ni`'znij Novgorod","",0,0,55000,12545,93850,793923,0,0,259.48269115947016,17579.22107756679
"#10.","Yekaterinburg","",0,0,0,0,0,0,1419775.9999999986,1102145,208,8229
"#11.","Charkiv","Charkov, Kharkov",0,0,0,9764,187843,860650,0,0,250.6910250635295,18096.085988077728
"#12.","Nizhny Novgorod","",0,0,0,0,0,0,1318060.000000001,1189993,232,6453.999999999996
"#13.","Novosibirsk","",0,0,0,0,0,0,1236017.9999999998,1342711,281,6210.999999999999
"#14.","Novosibirsk","Novonikolayevsk",0,0,0,0,0,594873,0,0,135.62011414190079,12798.218106953726
"#15.","Omsk","",0,0,0,0,0,0,1114378,869415,249.9999999999999,5333.999999999998
"#16.","Minsk","Měneskъ, Mińsk Litewski, Mińsk Białoruski",0,0,3500,13194,135505,614084,0,0,195.20695890692403,14869.356924342368
"#17.","Belgrade","",0,0,0,0,0,0,815099.9999999995,1200547,195,6286
"#18.","Samara","",0,0,1000,3504,91930,574891,0,0,223.0855237342592,17452.693935913485
"#19.","Odesa","",0,0,0,0,0,0,1065449.0000000007,977813,176,8598.999999999995
"#20.","Kazan","",0,0,0,0,0,0,958094.0000000002,1127086,248.00000000000009,5396.000000000005
"#21.","Dnipro","",0,0,0,0,0,0,966329.0000000003,761540,203.99999999999994,5492.999999999995
"#22.","Samara","",0,0,0,0,0,0,1048640.0000000007,942553,146,7993.999999999997
"#23.","Jekaterinburg","",0,0,0,8629,45420,610795,0,0,188.75698280228102,15368.357311129717
"#24.","Rostov-on-Don","",0,0,0,0,0,0,1028148,1028672,193,7132.0000000000055
"#25.","Miensk","Minsk, Mensk",0,0,0,12667,93943,349136,0,0,190.4732636803163,14871.368726045077
"#26.","Beograd","Belgrad, Belgrade, Belgrado, Singidunum",0,4064,28167,20095,33135,377321,0,0,1.069363287671233,2500873.723857964
"#27.","Sofia","",0,0,0,0,0,0,817372.0000000003,1068057,201,6015.999999999997
"#28.","Volgograd","Caricyn, Tsaritsyn, Zaryzin; from 1925-1961: Stalingrad",0,0,0,3738,64625,496926,0,0,216.85324734238876,17823.10342542562
"#29.","Donetsk","",0,0,0,0,0,0,895856.9999999995,690522,220.99999999999991,4641
"#30.","Chelyabinsk","",0,0,0,0,0,0,956223.0000000003,809268,228,6081.000000000001
"#31.","Ufa","",0,0,0,0,0,0,858748.9999999995,872395,124.00000000000003,8086.000000000003
