"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","London; Westminster; City of London","",0,0,0,0,0,0,7393367.000000005,10408332,1649,6312
"#2.","Paris; Argenteuil; Saint-Denis; Boulogne-Billancourt; Montreuil","",0,0,0,0,0,0,7398174.000000004,9328385,1421,6565
"#3.","London","Londinium",30770,20468,0,767781.8181819095,0,0,0,0,724.6613370083685,54898.14802041841
"#4.","Madrid; M�stoles; Legan�s; Alcorc�n; Fuenlabrada; Getafe; Parla; Alcobendas","",0,0,0,0,0,0,2947116.9999999986,5680137,680,8504
"#5.","Wetter (Ruhr)","",0,0,0,0,766000,1892508,0,0,488.2299839249399,11187.39360514107
"#6.","Paris","Lutetia (Lutetia Parisiorum), Parisii",0,14705,161474,533051,1893870,1713976,0,0,309.5282851535354,110268.79407874249
"#7.","Kensington and Chelsea","",0,11625,49827,772547,3388577,1760569,0,0,272.02547286579784,16025.55263193035
"#8.","Berlin","",0,0,7399,122556,1612750,2795971,0,0,415.0879951544068,36890.69065072426
"#9.","Barcelona; l'Hospitalet de Llobregat; Badalona; Sabadell; Santa Coloma de Gramenet","",0,0,0,0,0,0,2232085.0000000005,3908362,438,8958.999999999995
"#10.","Berlin","",0,0,0,0,0,0,3020662.000000001,3549997,686.9999999999998,5213
"#11.","Roma","Rome, Rom",796040,32625,35490,145655,444382,1645259,0,0,413.0639294078619,20795.231700448796
"#12.","Athens; Piraeus; Peristeri","",0,0,0,0,0,0,2931009.000000001,3166757,417,8411.000000000007
"#13.","Milano","Milan, Milaan, Mailand, Mediolanum",47500,35875,80203,127313,423166,1058524,0,0,359.3624169895362,23284.7498114964
"#14.","Gazi","",75000,75000,30000,14583,252507,1330822,0,0,576.0694425440902,14846.446439105988
"#15.","Milan; Monza","",0,0,0,0,0,0,2957948.000000001,3135553,785,4464.999999999999
"#16.","Madrid","",0,0,0,164890,486884,1364692,0,0,325.0354720898466,22469.3063433471
"#17.","Naples; Giugliano in Campania","",0,0,0,0,0,0,2588084.0000000005,2885079,618,5325.999999999998
"#18.","Essen; Duisburg; Bochum; Gelsenkirchen; Oberhausen; M�lheim an der Ruhr; Herne; Bottrop; Recklinghausen; Moers","",0,0,0,0,0,0,2846168.999999998,2718996,880,3375.9999999999986
"#19.","Birmingham; Wolverhampton","",0,0,0,0,0,0,2287347.9999999995,2617211,685,3821
"#20.","Manchester; Salford","",0,0,0,0,0,0,2175953.9999999995,2539907,751,3382
"#21.","Rome","",0,0,0,0,0,0,1950859.9999999993,2476089,467.00000000000006,5783.000000000002
"#22.","Manchester","",0,1750,2823,50246,286610,391700,0,0,106.17948548139609,217654.10523690374
"#23.","Wien","Vienna, Vienne, Becs, Vindobona",0,8375,28850,240065,1680447,1667400,0,0,210.1130758672992,16910.921829547315
"#24.","Rotterdam; The Hague; Zoetermeer; Delft","",0,0,0,0,0,0,1613952.0000000014,2173754,677,3546.999999999998
"#25.","Hamburg","",0,1750,22255,111941,714200,1525786,0,0,211.89199408121198,26749.809412177867
"#26.","Budapest","Aquincum, Boedapest",0,2844,22000,54732,735632,1469105,0,0,263.3675997252683,17198.820603892957
"#27.","Barcelona","Barcino",0,4057,24865,98098,437810,946957,0,0,187.4201463576378,29767.256424445615
"#28.","Bucharest","",0,0,0,0,0,0,1727685.0000000014,1971350,260,9462.999999999995
"#29.","Vienna","",0,0,0,0,0,0,1572879.0000000014,2056565,325,6328
"#30.","Warsaw","",0,0,0,0,0,0,1397963.0000000005,1999986,415,5700.999999999998
"#31.","Lisbon; Amadora; Agualva-Cac�m; Queluz; Odivelas; Loures; Alverca do Ribatejo; P�voa de Santa Iria; Sacav�m","",0,0,0,0,0,0,1283554.0000000002,1974574,426,4681.999999999998
"#32.","Budapest","",0,0,0,0,0,0,1839315.9999999995,1743875,368,5877.000000000004
"#33.","Munich","",0,0,0,0,0,0,1373831.0000000005,1827704,345,5298
"#34.","Hamburg","",0,0,0,0,0,0,1620557.9999999995,1733898,478,3885.9999999999977
"#35.","Birmingham","",0,0,0,18990,162862,307878,0,0,3.971220821917808,345465035.6615165
"#36.","Amsterdam","",0,0,11124,200560,529160,833575,0,0,149.91875599094763,20150.32204518921
"#37.","Torino","Turin, Taurasia, Augusta Taurinorum, Turijn",0,1875,9044,65187,318506,669412,0,0,187.99802207194512,22193.821727120314
"#38.","München","",0,1000,15000,47855,468450,823885,0,0,206.9233096690407,17828.894586743372
"#39.","Stockholm","",0,0,0,0,0,0,786249.0000000005,1543892,339,4554
"#40.","Bucuresti","Bucarest, Bucharest, Bukharest, Boukhorest, Bukarest",0,0,4000,34989,282350,1075775,0,0,221.81560966461663,19293.42140555752
"#41.","Brussels","",0,0,0,0,0,0,970503.0000000007,1468754,235,6533.000000000004
"#42.","Liverpool","",0,0,0,0,0,0,1416110.9999999988,1243206,388.00000000000006,3912.0000000000023
"#43.","Valencia; Torrent","",0,0,0,0,0,0,977368.9999999993,1404208,223.00000000000003,7790.000000000001
"#44.","Glasgow","",0,0,0,53387,600126,855875,0,0,130.07602729814155,17204.0233662754
"#45.","Turin","",0,0,0,0,0,0,1287918.9999999995,1243448,212,7009.000000000003
"#46.","Liverpool","",0,0,0,63302,422891,62866,0,0,105.0690464456746,4420107.801881224
"#47.","Warszawa","Warschau",0,0,7142,125714,685994,610064,0,0,124.09307472831037,49742.150936215505
"#48.","Frederiksberg","",0,0,20667,100384,476267,113200,0,0,55.485459535926395,280598.4561405802
"#49.","Copenhagen","",0,0,0,0,0,0,1037065.9999999998,1258202,313.9999999999999,4166
"#50.","Amsterdam","",0,0,0,0,0,0,930715.0000000001,1223407,308,4796.999999999997
"#51.","Köln","Cologne, Cöln",0,13910,48149,14550,272900,392375,0,0,93.52559130887926,49628.01942433978
"#52.","Prague","",0,0,0,0,0,0,974791.9999999997,1201278,263,4610.000000000002
"#53.","Frankfurt am Main","",0,0,15063,16517,169286,329850,0,0,94.94607579594752,82309.28849651723
"#54.","Praha","Prag, Praga, Prague",0,8312,70000,74642,296587,943800,0,0,124.91186672443305,18139.50846815291
"#55.","Lyon; Villeurbanne","",0,0,0,0,0,0,839170.9999999993,1194741,256,4667
"#56.","Cologne; Leverkusen; Bergisch Gladbach","",0,0,0,0,0,0,865468.0000000006,1156303,296,3906
"#57.","Napoli","Naples, Napels, Neapel, Neapolis, Parthenope",0,7855,113014,340908,346411,549473,0,0,49.86368685457284,55616.80531791187
"#58.","Katowice; Zabrze; Bytom; Ruda ?l?ska; Chorz�w; Siemianowice ?l?skie; Piekary ?l?skie; ?wi?toch?owice","",0,0,0,0,0,0,1097293.0000000007,879406,277.99999999999994,4193.999999999997
"#59.","Dublin","",0,0,0,0,0,0,792987,1124520,301,3736
"#60.","Rotterdam","",0,0,5130,55081,330000,672825,0,0,122.81109425846554,17818.084727461413
"#61.","Porto; Vila Nova de Gaia; Rio Tinto; Matosinhos; Ermesinde; Senhora da Hora; Gondomar; Valongo; S�o Mamede de Infesta; Espinho; Valbom; Alfena","",0,0,0,0,0,0,705552.9999999998,1060250,324,3342.999999999998
"#62.","Leeds; Bradford","",0,0,0,0,0,0,858220.0000000005,1053955,321,3290.000000000001
"#63.","Glasgow","",0,0,0,0,0,0,1024722.0000000006,992059,309,3438.9999999999973
"#64.","Helsinki; Vantaa","",0,0,0,0,0,0,270195.9999999999,1001125,384,2952.0000000000005
"#65.","Tirana; Kamez","",0,0,0,0,0,0,150693.00000000003,995789,115,8659
"#66.","Brussel","Bruxelles, Brussels",0,0,0,0.0000010000000000000004,0,0,0,0,7.923191748897305e-10,26741745133200748
"#67.","Dusseldorf; Neuss","",0,0,0,0,0,0,744670.9999999995,921669,246,4485.999999999999
"#68.","Frankfurt; Offenbach am Main","",0,0,0,0,0,0,676961.9999999998,916259,193,4747
"#69.","Marseille","",0,0,0,0,0,0,727790.0000000002,911934,188,4929
"#70.","Stockholm","",0,0,8786,72697,273627,586310,0,0,90.6603903813447,18249.04358011967
"#71.","Stuttgart","",0,0,0,0,0,0,772562.0000000002,909232,257.00000000000006,4003.0000000000005
"#72.","Bilbao; Barakaldo","",0,0,0,0,0,0,899405.9999999995,729222,118.00000000000004,9453.000000000004
"#73.","Lille","",0,0,0,0,0,0,809121.9999999998,907123,228,4190
"#74.","Oslo","",0,0,0,0,0,0,441453.0000000001,889573,244.00000000000006,3646
"#75.","Genova","Genoa, Genua, Gènes",0,13961,78000,90835,198430,677975,0,0,77.17351283790444,19927.79237580235
"#76.","Wuppertal","",0,0,1000,17891,277606,353229,0,0,113.95020879656101,15283.014293495515
"#77.","Marseille","Massilia",0,4781,26376,56140,436436,561950,0,0,75.08979808237157,22944.216703046455
"#78.","Düsseldorf","",0,0,2625,16578,180363,382409,0,0,114.24053742092596,19765.932483270823
"#79.","Riga","",0,0,0,0,0,0,714625.0000000001,516897,155.00000000000003,5359.000000000003
"#80.","Riga","",0,1500,9363,29652,292073,502862,0,0,83.65271176344696,20396.6217066456
"#81.","Thessaloniki","",0,0,0,0,0,0,603938.0000000001,783450,117,7806
"#82.","Valencia","",0,9120,47652,74516,179277,429697,0,0,71.95968229981173,23256.590678357705
"#83.","Lodz","",0,0,0,0,0,0,761902.9999999995,582587,137.00000000000003,6068.999999999998
"#84.","Newcastle upon Tyne","",0,0,0,0,0,0,783189.0000000002,770369,239.00000000000009,3304.999999999999
"#85.","Gravenhage, 's-","Den Haag, The Hague, La Haye, L'Aja",0,0,5592,37534,210760,559850,0,0,91.74922344138774,17536.194559340696
"#86.","Antwerp","",0,0,0,0,0,0,488399.00000000006,767652,327,2906.999999999999
"#87.","Bonn","",0,0,0,0,0,0,598373.0000000003,756475,274.00000000000006,2761
"#88.","Newcastle upon Tyne","",0,0,7750,36674,212400,293600,0,0,71.3356992234414,68624.16417808514
"#89.","Dortmund","",0,0,0,0,0,0,742750.9999999995,709615,257.00000000000006,3031.999999999998
