Area Rank,City,Area Value,Region,"Density Rank, Stadestér",City,Density Value (ihb/ha),Region,"Density Rank, GHSL",City,Density Value (ihb/km^2),Region,Population Rank,City,Population Value,Region
1,Mumbaî,38496.89252,indian_subcontinent,1,Ghazni,1348.58771,central_asia,1,Ar Rujum,120276,middle_east,1,Shenzhen; Gu,42987704,eastasia
2,Dhaka; Cumil,6611,indian_subcontinent,2,Jiulong,1258.478577,eastasia,2,Al Ma`azibah,96826,middle_east,2,Jakarta; Bek,40545126,southeast_asia
3,Shenzhen; Gu,6454,eastasia,3,Sikandarâbâd,1241.63966,indian_subcontinent,3,Al Qal`ah; J,84643,middle_east,3,Dhaka; Cumil,37307160,indian_subcontinent
4,Cali,5285.197708,latin_america,4,Taxila,1196.22371,central_asia,4,Jotsoma; Phe,76518,indian_subcontinent,4,Tokyo; Yokoh,33496985,eastasia
5,Valenciennes,5239.876769,europe,5,Kozhikode,1183.539125,indian_subcontinent,5,Karora,75898,sub_saharan_africa,5,Ghaziabad; G,31422508,indian_subcontinent
6,Tokyo; Yokoh,5191,eastasia,6,Katowice,1181.59803,europe,6,Tiquisio,71999,latin_america,6,Shanghai; Pu,30678616,eastasia
7,Jakarta; Bek,4614,southeast_asia,7,Banhâ,1179.121538,maghreb_egypt,7,Al Jama'im,66726,middle_east,7,Quezon City;,25921189,southeast_asia
8,Los Angeles;,4498,northern_america,8,Wandsbek,1175.932702,europe,8,Sarvestan,63654,middle_east,8,Cairo; Giza;,25230325,maghreb_egypt
9,Hiroshima,3986.445938,eastasia,9,Wetter (Ruhr,1175.854032,europe,9,Zahr al Husa,61876,middle_east,9,Kolkata; How,23314585,indian_subcontinent
10,Hajipur; Muz,3166,indian_subcontinent,10,Essen,1168.369443,europe,10,Al Ghawl; As,61855,middle_east,10,Seoul; Inche,22261692,eastasia
11,Shanghai; Pu,3128,eastasia,11,Salerno,1151.530526,europe,11,Natinga,57894,sub_saharan_africa,11,Karachi,21031703,central_asia
12,New York; Ne,3031,northern_america,12,Brussel,1147.700318,europe,12,Bangarmau,54961,indian_subcontinent,12,Mumbai; Than,20453270,indian_subcontinent
13,Miami; Hiale,2784,northern_america,13,Stockton-on-,1134.078722,europe,13,Bike,53879,sub_saharan_africa,13,S�o Paulo; G,19485158,latin_america
14,New York,2745.764809,northern_america,14,Cannes,1133.743309,europe,14,Lintou,53346,eastasia,14,Bangkok; Non,19048032,southeast_asia
15,Bangkok; Non,2697,southeast_asia,15,Burg,1108.398541,europe,15,Ath Thahirah,51089,middle_east,15,Mexico City;,18913673,latin_america
16,Quezon City;,2555,southeast_asia,16,Birmingham,1078.780474,europe,16,Inticho,50845,sub_saharan_africa,16,Beijing; Shu,18150576,eastasia
17,Kolkata; How,2482,indian_subcontinent,17,Lancaster,1078.406811,europe,17,Pingchang Co,48985,eastasia,17,New York,16152299,northern_america
18,Nagoya; Gifu,2401,eastasia,18,Zefat,1068.170815,middle_east,18,Nimule,47528,sub_saharan_africa,18,Bengaluru,15178533,indian_subcontinent
19,Seoul; Inche,2282,eastasia,19,Virovitica (,1061.04773,europe,19,Ar Rawnah; A,47293,middle_east,19,Osaka; Kobe;,15072543,eastasia
20,Osaka; Kobe;,2246,eastasia,20,Nagasaki,1060.967919,eastasia,20,????????; ??,45712,eastern_europe_and_russia,20,Ho Chi Minh ,14557830,southeast_asia
21,Buenos Aires,2186,latin_america,21,Cobh,1057.331043,europe,21,Longshui,45429,eastasia,21,Moscow; Bala,14384082,eastern_europe_and_russia
22,Beijing; Shu,2179,eastasia,22,Brighton,1053.924735,europe,22,Aliganj,45152,indian_subcontinent,22,Lahore; Shei,14305060,central_asia
23,Ghaziabad; G,2139,indian_subcontinent,23,Holguín,1053.404112,latin_america,23,Toraghundi,44485,central_asia,23,Istanbul,14259754,middle_east
24,Mexico City;,2134,latin_america,24,Amarapura,1045.735935,southeast_asia,24,Dianjiang,44317,eastasia,24,New York; Ne,14197659,northern_america
25,S�o Paulo; G,2111,latin_america,25,Bytom,1042.037938,europe,25,Al Masaliyah,43706,middle_east,25,Buenos Aires,14179912,latin_america
26,Chicago; Eva,2046,northern_america,26,Nürnberg,1037.995003,europe,26,Dhupguri,43259,indian_subcontinent,26,Los Angeles;,13474333,northern_america
27,Jieyang; Sha,1961,eastasia,27,Bar-le-Duc,1036.952925,europe,27,Rongchang,43086,eastasia,27,Kinshasa,12945683,sub_saharan_africa
28,Houston; Pas,1859,northern_america,28,Liverpool,1032.412731,europe,28,Sareyn,42719,middle_east,28,Lagos; Ikeja,12846045,sub_saharan_africa
29,Suzhou; Wuxi,1802,eastasia,29,Massa,1029.710448,europe,29,Hechuan,42250,eastasia,29,Luanda,11672134,sub_saharan_africa
30,Johannesburg,1756,sub_saharan_africa,30,Patna,1022.039308,indian_subcontinent,30,Al Hudayyah;,41879,middle_east,30,Suzhou; Wuxi,11540430,eastasia
31,Cairo; Giza;,1680,maghreb_egypt,31,Avallon,1021.387907,europe,31,Neragyatanah,41670,indian_subcontinent,31,Chennai; Tam,11466400,indian_subcontinent
32,London; West,1649,europe,32,Elblag,1016.005443,europe,32,`Adan Baraka,41312,middle_east,32,Lima; Callao,10828104,latin_america
