Year,Stadestér Urban Population,HYDE/UN Urban Population,Margin of Error (%)
-3000,142000,143634.17,-1.137730667
-2000,633792,340472.16,86.15090291
-1000,1132005,758302.3,49.28149367
0,8527442,5609592,52.01536939
100,8577442,6357399.5,34.92060708
200,8589942,7113681,20.75242058
300,9007614,7589285.5,18.68856429
400,9662527,8646410,11.75189472
500,9915538,9730661,1.899942871
600,10433552,11219764,-7.007384469
700,12183397,12318848,-1.099542749
800,14507330,13057900,11.10002374
900,16382100,14793082,10.74162909
1000,18473441,16083006,14.86311079
1100,21270699,20204762,5.275672141
1200,23761168,22734506,4.515875559
1300,26187271,27533272,-4.888634377
1400,29550084,25333648,16.64361958
1500,32345737,30042424,7.666868026
1600,36893626,37294070,-1.073747113
1700,43828987,42247170,3.744196357
1710,44236848,44975116,-1.64150327
1720,45274546,48085664,-5.84606256
1730,46430979,50868756,-8.723973906
1740,47345530,54295470,-12.80022072
1750,48886454,59040230,-17.19806308
1760,50218033,62603296,-19.78372353
1770,51793705,66552020,-22.17560789
1780,53016159,72713890,-27.08936491
1790,54703667,77224300,-29.16262498
1800,59249031,80241304,-26.16143053
1810,62476746,88611980,-29.49401875
1820,66226362,93874940,-29.4525653
1830,70116301,105993464,-33.8484673
1840,76405546,115169090,-33.65794069
1850,85385157,129892696,-34.2648512
1860,96407869,143299280,-32.72271221
1870,108796938,156128800,-30.31590712
1880,130404638,181828720,-28.2816059
1890,152013484,220024530,-30.91066528
1900,208276739,271391140,-23.25588116
1910,253791628,326850000,-22.35226312
1920,306109911,387492220,-21.00230787
1930,351190535,476477800,-26.2944601
1940,431635793,587700350,-26.55512405
1950,535745671,734496000,-27.05941612
1951,552880527,753337600,-26.60919527
1952,568225329,775755900,-26.75204546
1953,582237652,798814600,-27.11229214
1954,598087606,823602900,-27.38155657
1955,610438634,849212200,-28.11706732
1956,626192519,875570400,-28.4817624
1957,640686430,902617200,-29.01903155
1958,658800272,930639900,-29.20996918
1959,669176498,959605250,-30.26544009
1960,696535973,989473400,-29.60538676
1961,716890061,1020287360,-29.73645572
1962,733693043,1052657900,-30.30090374
1963,758552613,1086350600,-30.17423537
1964,769521917,1120985300,-31.35307689
1965,792330167,1153090200,-31.2863671
1966,820272429,1186064900,-30.84084783
1967,843587241,1219920400,-30.84899302
1968,872276313,1254641800,-30.47606791
1969,897245872,1289976400,-30.44478395
1970,931978623,1325972500,-29.7135783
1971,962103379,1362029300,-29.36250498
1972,987768727,1399938300,-29.44198134
1973,1014203670,1438599200,-29.50060934
1974,1047996487,1478012400,-29.09420198
1975,1172942712,1515848800,-22.62139126
1976,1201134434,1558634400,-22.93674296
1977,1229326107,1602260900,-23.27553478
1978,1257517731,1647009700,-23.648432
1979,1285709459,1692526000,-24.03605859
1980,1199343758,1739301800,-31.04452844
1981,1222756338,1786318300,-31.54879855
1982,1250892317,1832483100,-31.73785248
1983,1279028369,1882747900,-32.06587196
1984,1307164336,1934674300,-32.43491496
1985,1379311687,1988223700,-30.62593072
1986,1401693662,2043690200,-31.4135938
1987,1434578239,2100571500,-31.70533643
1988,1467462876,2159597600,-32.04924491
1989,1500347472,2218182700,-32.36141135
1990,1588078725,2277104400,-30.25885309
1991,1609250791,2334408700,-31.06387965
1992,1650892266,2391490000,-30.96804645
1993,1692533675,2448701400,-30.88035662
1994,1734175063,2506174000,-30.80388421
1995,1833761683,2563817200,-28.47533424
1996,1865843158,2621790000,-28.83323386
1997,1914222683,2680412000,-28.58475925
1998,1962602168,2739952600,-28.37094452
1999,2010981684,2800267800,-28.18609406
2000,2075371518,2861809200,-27.48043727
2001,2131259102,2922698500,-27.07906402
2002,2170958992,2985092400,-27.27330678
2003,2210658932,3048247800,-27.47771582
2004,2250358810,3112170200,-27.69165356
2005,2340475410,3176868400,-26.32759324
2006,2371813468,3242318600,-26.84822929
2007,2415028171,3308532500,-27.00606172
2008,2458242888,3375545300,-27.17494006
2009,2501457518,3443392800,-27.35486007
2010,2590976372,3507305000,-26.12628865
2011,2624351579,3577479700,-26.64244666
2012,2671409425,3647966700,-26.76990651
2013,2718467329,3719621000,-26.91547529
2014,2765525276,3791865600,-27.06689615
2015,2849767897,3864891000,-26.26524533
2016,2888265564,3938664200,-26.66890556
2017,2936413146,4013144600,-26.83011856
2018,2984560778,4088405800,-26.99939967
2019,3032708507,4164448000,-27.17621862
2020,3097034467,4240718600,-26.96911163
2021,3138736067,4310180400,-27.17854531
2022,3179402546,4379126000,-27.39641321
2023,3220050999,4448694000,-27.61806051
2024,3260704433,4695752700,-30.56055884
2025,3303991978,4774646300,-30.80132495
