"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Dhaka; Cumilla; Narayanganj; Gazipur; Narsingdi; Noakhali; Munshiganj; Lakshmipur","",0,0,0,0,0,0,4761676,37307160,6611,7484.999999999997
"#2.","Ghaziabad; Gurugram; Noida; New Delhi; Bahadurgarh; Faridabad; Manesar","",0,0,0,0,0,0,6273460.000000003,31422508,2139,14690
"#3.","Kolkata; Howrah; Maheshtala; Maheshtala; Rajpur Sonarpur; Bally; Serampore; Baranagar; Uluberia; Hugli-Chunchura; Chandannagar; Kalyani; Budge Budge; Baruipur; Pujali; New Town; Barrackpore; New Barrackpore; Barasat","",0,0,0,0,0,0,10921585.000000004,23314585,2482,13287.000000000011
"#4.","Mumbai; Thane; Navi Mumbai; Bhiwandi","",0,0,0,0,0,0,8505137.999999998,20453270,738,27714
"#5.","Bengaluru","",0,0,0,0,0,0,2423091.999999999,15178533,1008,15860
"#6.","Chennai; Tambaram; Avadi","",0,0,0,0,0,0,4572656.999999999,11466400,1052,12785.00000000001
"#7.","Hajipur; Muzaffarpur","",0,0,0,0,0,0,763724.9999999998,9755303,3166,7487.0000000000055
"#8.","Hyderabad; Sikandarabad","",0,0,0,0,0,0,2916820.999999997,9455230,889,10636
"#9.","Ahmedabad","",0,0,0,0,0,0,2622984.000000001,7898650,365,21640
"#10.","Kozhikode","",0,0,0,0,0,0,578152.9999999999,7612130,1341,11563.000000000004
"#11.","Surat","",0,0,0,0,0,0,990357.0000000003,7100723,296,23989
"#12.","Pune; Pimpri-Chinchwad","",0,0,0,0,0,0,2459384.000000002,6674000,580,11507
"#13.","Mumbaî","Bombay",0,0,0,115384.6153848461,773376,2594970,0,0,38496.89252248321,17179.580014488976
"#14.","Lucknow; Barabanki","",0,0,0,0,0,0,1503536.0000000002,5214964,513,11203.999999999996
"#15.","Chattogram","",0,0,0,0,0,0,1355538,5175717,519,11087.999999999995
"#16.","Kochi; Ernakulam","",0,0,0,0,0,0,1184582.0000000005,5069022,1266,5484
"#17.","Colombo; Kaduwela; Moratuwa; Maharagama; Kesbewa; Negombo; Sri Jayawardenepura Kotte; Kolonnawa; Kalutara; Gampaha","",0,0,0,0,0,0,1980806.9999999986,4720933,1206,3915
"#18.","Kanpur; Unnao","",0,0,0,0,0,0,2093216.9999999993,4413625,309,16298.000000000005
"#19.","Jaipur","",0,0,0,0,0,0,969820.9999999999,4229050,458,9600.000000000004
"#20.","Delhi","Dillî, Dehli",0,0,76316,190000,184087,813062,0,0,470.3145439551852,24910.20114942529
"#21.","Calcutta","Kalikata",0,0,0,258417,614677,1940280,0,0,191.4495355341972,76721.6280841723
"#22.","Kathmandu; Bhaktapur","",0,0,0,0,0,0,239230.99999999988,3862697,350,11036
"#23.","Varanasi; Mughal Sarai","",0,0,0,0,0,0,1752865.0000000007,3812495,381,16382.000000000002
"#24.","Savar","",0,0,0,0,0,0,210170.99999999994,3695797,592,6718.0000000000055
"#25.","Indore","",0,0,0,0,0,0,1054776.9999999995,3598874,281,12807
"#26.","Kollam","",0,0,0,0,0,0,406894.9999999998,3463935,710,4879
"#27.","Patna; Danapur","",0,0,0,0,0,0,907147.0000000007,3434078,262,13751.000000000005
"#28.","Nagpur","",0,0,0,0,0,0,1308729.9999999995,3399891,286,11888
"#29.","Kalyan-Dombivli; Ulhasnagar; Kulgaon Badlapur","",0,0,0,0,0,0,789543.0000000003,3214861,175,18371
"#30.","Thiruvananthapuram","",0,0,0,0,0,0,830342.9999999999,3166825,361,8772
"#31.","Chennai","Madras, Chennapattanam",0,0,0,111752,503620,1352240,0,0,389.8602046964275,17565.911096283835
"#32.","Asansol","",0,0,0,0,0,0,1516791.9999999993,2886897,249,11762.000000000007
"#33.","Maharajganj; Barharia","",0,0,0,0,0,0,128886.00000000003,2840919,1120,18411.999999999996
