"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Cairo; Giza; Shubra al Khayma; Helwan; New Cairo; Fifteenth Of May; Al-Obour","",0,0,0,0,0,0,7420438.999999998,25230325,1680,15018
"#2.","Qâhirah, Al- (agglomeration)","Al-Qâhirah, Cairo, Al-Qahira, El-Qahira, Masr el-Kâhira, Kairo",0,94091,360000,170741,503397,2973872,0,0,908.3914928290346,18380.24498865613
"#3.","Alexandria","",0,0,0,0,0,0,2546913.000000001,6931369,439,15789
"#4.","Luxor; New Thebes","",0,0,0,0,0,0,91937.99999999997,6314420,324,19489
"#5.","Casablanca; Mohammedia","",0,0,0,0,0,0,1755576.0000000005,4577677,415,11031
"#6.","Algiers; Kouba","",0,0,0,0,0,0,1521007.0000000014,3316232,468,7086
"#7.","Tunis; Ariana; Ben Arous; Carthage; Nouvelle Medina","",0,0,0,0,0,0,697879,2790169,488,5718
"#8.","Iskandarîyah, Al- (agglomeration)","Al-Iskandarîyah, El-Iskandarîya, Alexandria",1000000,160000,50000,4569,345486,1237313,0,0,534.773327001833,12004.810398354733
"#9.","Rabat; Sal�; Temara","",0,0,0,0,0,0,606248.9999999994,2094221,203,10316
"#10.","Banha","",0,0,0,0,0,0,123682.99999999991,1876792,337,5812.000000000004
"#11.","El Mansura","",0,0,0,0,0,0,412720.0000000002,1707877,198,10244.000000000007
"#12.","Dar el Beida","Casablanca, Dar-el-Beida, Ad-Dâr al-Baydâ",0,0,0,0,8500,644029,0,0,250.5820382043278,11050.084715914234
"#13.","Fez","",0,0,0,0,0,0,436699.99999999965,1434235,106,13531
"#14.","Tangier","",0,0,0,0,0,0,255303.99999999983,1300223,86,15119
"#15.","Al Zaqaziq","",0,0,0,0,0,0,337528.00000000006,1296062,136,15341.999999999987
"#16.","Oran; Bir El Djir","",0,0,0,0,0,0,454743.0000000001,1261238,178,10029.999999999996
"#17.","Tripoli","",0,0,0,0,0,0,455073.9999999997,1248354,465,3217
"#18.","El-Djazaïr","Alger, Algiers, El-Jazaïr, El-Djezaïr",0,0,20000,78000,31428,119917,0,0,46.540949351981276,83272.95057695752
"#19.","Marrakesh","",0,0,0,0,0,0,321699.00000000006,1152691,124.00000000000003,9296
"#20.","Asyut","",0,0,0,0,0,0,276971.00000000006,1152515,145,10581.999999999993
"#21.","Suhaj; ??? ??????","",0,0,0,0,0,0,223933.99999999985,1104285,174,6649.0000000000055
"#22.","El Mahalla El Kubra","",0,0,0,0,0,0,384823.9999999999,1102441,70.00000000000003,15749
"#23.","Jîzah, Al-","Al-Jîzah, Al-Giza, Giza, Gizeh, El-Giza",0,0,0,0,419,6090,0,0,182.22190370657955,259413.51672838692
"#24.","Tanta","",0,0,0,0,0,0,384274.00000000006,941974,62.00000000000001,15193
"#25.","Agadir","",0,0,0,0,0,0,0,926390,116,7986
"#26.","Port Said","",0,0,0,0,0,0,282299.9999999999,874651,57.00000000000001,15345
"#27.","Badrashayn, Al-","Al-Badrashayn",198374,526286,690242,788615,821407,837802,0,0,47.21844055014718,18154.106886571135
"#28.","Meknes","",0,0,0,0,0,0,316377.9999999997,747784,72,10386
"#29.","Mit Ghamr; Zifta","",0,0,0,0,0,0,130054.00000000009,744961,111,9479
"#30.","Faiyum","",0,0,0,0,0,0,192729.99999999988,741406,59,17911
"#31.","Damietta","",0,0,0,0,0,0,176567.99999999988,727330,123,6316
"#32.","Blida","",0,0,0,0,0,0,120873.00000000007,703326,95,7403
"#33.","Tarâbulus","Tarâbulus al-Gharb, Tripoli(s), Tripoli di Barbaria, Oea",0,0,15704,16250,37000,124325,0,0,87.3933621635854,23246.12972761121
"#34.","Beni Suef; New Bani Sweif","",0,0,0,0,0,0,97561.00000000009,665694,90,9078.000000000002
"#35.","Sfax","",0,0,0,0,0,0,219029.00000000006,649272,182,3567
"#36.","Rabat-Salé","",0,0,0,0,0,301667,0,0,66.57851138468976,16556.778843709675
"#37.","Djelfa","",0,0,0,0,0,0,0,612877,40,15322
"#38.","Oujda","",0,0,0,0,0,0,244718.99999999994,609449,67,9096
"#39.","Benghazi; Benghazi","",0,0,0,0,0,0,194706.00000000015,599691,150,4210.000000000004
"#40.","Kenitra","",0,0,0,0,0,0,149766.00000000006,588772,74,8656.000000000007
"#41.","Al Ismailiya","",0,0,0,0,0,0,208793.00000000012,584529,71,8249.999999999993
"#42.","Boumerdes","",0,0,0,0,0,0,0,560227,161,3480
"#43.","Suez","",0,0,0,0,0,0,123824.9999999999,557510,75,7433
"#44.","Damanhur","",0,0,0,0,0,0,162157.99999999997,554723,48,11557
"#45.","Al Minya; New Al Minya","",0,0,0,0,0,0,119912.00000000007,549612,55,10769
"#46.","Sousse","",0,0,0,0,0,0,75169.00000000001,537190,124,4332
"#47.","Tûnis","Toûnis, Tunis, Tunes",0,15000,65000,94982,170000,329000,0,0,41.86139963882545,22851.219496267702
"#48.","Constantine","",0,0,0,0,0,0,321522.0000000001,507697,93,7449.0000000000055
"#49.","Al Marsâ","La Marsa",175000,50000,50000,50000,50000,9340,0,0,2.73972602739726,18250
"#50.","T�touan","",0,0,0,0,0,0,173096.99999999994,482339,39,13029.999999999993
"#51.","Tahta","",0,0,0,0,0,0,62684.000000000015,476377,73,9006.000000000002
"#52.","Wahrân","Oran, Ouahran",0,0,30000,4632,86650,270800,0,0,70.82498087861227,23643.493242638502
"#53.","Aswan","",0,0,0,0,0,0,157974.00000000003,472978,60,7883
"#54.","Annaba","",0,0,0,0,0,0,256912.9999999998,471639,80,5895
"#55.","Rabat","Ar-Ribât, Er Rabât",0,0,45763,43000,39333,117314,0,0,31.607602060362577,67447.14543539275
"#56.","Shibin Al-Kom","",0,0,0,0,0,0,82501.00000000001,468890,52.00000000000001,9017
"#57.","Al Abbasa al Sharqiya; Abu Hammad al Mahattah","",0,0,0,0,0,0,52600.99999999998,433575,94,4830.000000000004
"#58.","Sanhur","",0,0,0,0,0,0,0,415011,97,6970.999999999997
"#59.","Al Wadi; Zawiyat Abd al Qadir; Madinat Mubarak; Bringi Maryut","",0,0,0,0,0,0,93475.99999999993,409667,107,4168.999999999996
"#60.","Nag Hammadi; Farshut","",0,0,0,0,0,0,334966.99999999977,243713,70.00000000000003,6583
"#61.","Faqous","",0,0,0,0,0,0,65332.00000000001,388105,65,7543.000000000001
"#62.","Mit Habib; Ezbet Mourad al Sughra; Ezbet Bani Saleh; Ezbet Mahmoud Thabit; Ezzbat Al Saraya; Telbana; Ezbet Mourad al kubra; Ezbet Tilbana; Ezbet Al Zahria; Al Hawd at Tawil","",0,0,0,0,0,0,0,385408,124,3108
"#63.","Kafr Al Sheikh","",0,0,0,0,0,0,109458.00000000009,379937,37,13302.000000000005
"#64.","Batna","",0,0,0,0,0,0,85829,377992,41,9219
"#65.","Setif","",0,0,0,0,0,0,118471.99999999991,366338,49,8112.999999999994
"#66.","Al-Manshah","",0,0,0,0,0,0,0,365272,76,4806
"#67.","Marrakech","Marräkush, Marrakesh",0,0,50000,30000,88324,239177,0,0,37.11202200876139,22554.604541072193
"#68.","Fès","Fez, Fäs",0,26810,129762,70439,84305,203715,0,0,30.523727329975443,18326.7897504973
"#69.","Al-Asafra; Al-Manzala","",0,0,0,0,0,0,52229.99999999998,356762,54,10446.000000000004
"#70.","Safi","",0,0,0,0,0,0,144402.00000000012,352977,39,9623.999999999998
"#71.","Shubrâ al-Khaymah","Shubra el-Kheima, Shoubra el-Kheima, Shobra el-Kheima",0,0,0,0,0,48200,0,0,40.45627452530617,12812.588255155835
"#72.","Balyana","",0,0,0,0,0,0,0,346683,85,5096.000000000001
"#73.","Dusuq; El Rahmaniya","",0,0,0,0,0,0,95981.00000000006,344308,38,9207.999999999996
"#74.","Sidfa; Al Badari","",0,0,0,0,0,0,0,344041,78,6352.000000000005
"#75.","Qacentina","Constantine, Qoussantina, Qustantînah, Cirta",0,0,39130,40000,52000,128767,0,0,27.819496225103432,50000
"#76.","Minya Al-Qamh","",0,0,0,0,0,0,0,328120,54,8105.000000000002
"#77.","Mallawi","",0,0,0,0,0,0,68914.99999999996,324904,28,12923.999999999996
"#78.","Girga","",0,0,0,0,0,0,65476.999999999956,323348,47,8841.999999999993
"#79.","??????; Mit Kenana; Al Maagini","",0,0,0,0,0,0,0,313718,70,4482
"#80.","Misrata","",0,0,0,0,0,0,0,310800,179,2710.000000000001
"#81.","Biskra","",0,0,0,0,0,0,65701.00000000004,310661,47,6610
"#82.","Bûr Sa'îd","Port-Said",0,91104,125000,125000,44440,193231,0,0,6.8493150684931505,44641.836
"#83.","Suways, Al-","As-Suways, Al-Suways, Suez, As-Suweis, El-Suweis",0,0,0,0,17530,129615,0,0,42.06126507014601,18612.211762385443
"#84.","Kafr Al-Zaiyat","",0,0,0,0,0,0,77979.00000000001,302540,55,6979.9999999999945
"#85.","Annaba","Bône, Bona, Annâbah, Hippo",0,0,0,0,35750,106567,0,0,30.887206828593158,16849.904286351237
"#86.","Tlemcen","",0,0,0,0,0,0,73324.00000000003,294082,60,5670.000000000004
"#87.","Al Harafsha; Ineibis; Bani Ammar; Nagaa Mkhaimar; Nag Ghazali; Nazzah; Al Qiraiya; Giheina; Fazarah bil Qaryah; Fazara bil Qiraiya","",0,0,0,0,0,0,50525.00000000003,291976,75,8589.999999999998
"#88.","El Oued","",0,0,0,0,0,0,0,281360,51,5517
"#89.","Bilbeis","",0,0,0,0,0,0,71070.00000000004,281019,41,12005.999999999993
"#90.","Sers Al Layyan; Manuf","",0,0,0,0,0,0,0,280635,39,10310.000000000005
"#91.","Al-Santa","",0,0,0,0,0,0,0,278311,51,5828
"#92.","Samalut","",0,0,0,0,0,0,51400,277834,39,10918.000000000007
"#93.","Dairut","",0,0,0,0,0,0,52900.00000000002,275980,32,8624
"#94.","Tantâ","Tantah",0,0,0,0,57300,150077,0,0,27.48084251724942,16676.291720159996
"#95.","Mahallah, Al-, al-Kubrâ","Al-Mahallah al-Kubrâ, Mehalla al-Kobra, El-Mahalla el-Koubra",0,0,0,0,36170,135462,0,0,26.870486920176894,17383.06932372833
"#96.","Qena","",0,0,0,0,0,0,241042.99999999997,189848,37,10043.000000000005
"#97.","Meknès","Miknäs, Mequinez",0,0,45000,45167,53833,164257,0,0,22.0269331157195,28907.422889063502
"#98.","Sidi Bel Abbes","",0,0,0,0,0,0,115844.99999999993,265431,32,8541
"#99.","Diyarb Nigm","",0,0,0,0,0,0,0,263943,59,8637.000000000005
"#100.","Hulwân","Helwan, Hilwan, Heluan",0,0,0,0,0,72721,0,0,29.681312875934882,11188.925172763422
"#101.","Nador","",0,0,0,0,0,0,68874.99999999999,262094,50,5242
"#102.","Kol�a; Fouka; Bou Ismail; Douaouda; Khemisti","",0,0,0,0,0,0,0,261238,64,4082
"#103.","Tebessa","",0,0,0,0,0,0,64543.99999999995,260482,31,8602.999999999998
"#104.","Tima","",0,0,0,0,0,0,61971.000000000015,255070,38,7516.000000000005
"#105.","Al-Wasitah","",0,0,0,0,0,0,54975.999999999956,253583,32,8496.000000000004
"#106.","Skikda","",0,0,0,0,0,0,65092.00000000001,252926,59,4287
"#107.","El Jadida","",0,0,0,0,0,0,87243.99999999994,251175,40,7483.999999999998
"#108.","Ouargla","",0,0,0,0,0,0,0,250308,45,5562
"#109.","Tiaret","",0,0,0,0,0,0,64428.99999999995,246774,30.000000000000004,8226
"#110.","Abnud","",0,0,0,0,0,0,238136.00000000012,77101,55.000000000000014,5412.000000000004
"#111.","Hammamet; Nabeul","",0,0,0,0,0,0,0,236818,80,3760.999999999998
"#112.","Laghouat","",0,0,0,0,0,0,0,235439,25,9418
"#113.","Mostaganem","",0,0,0,0,0,0,60523.999999999985,234207,44,5323
"#114.","Abu Kabir","",0,0,0,0,0,0,63237.99999999998,232629,28,10539.999999999995
"#115.","Banghâzî","Benghazi, Bengasi, Berenice",0,0,0,0,21667,68425,0,0,26.204034356137157,18577.50677684089
"#116.","Beni Mellal","",0,0,0,0,0,0,72365,230259,22,10779.999999999998
"#117.","Khouribga","",0,0,0,0,0,0,113983.99999999993,227341,21,12078
"#118.","Imbaba","Embabe, Embabeh",0,0,0,0,16381,116063,0,0,23.646955281052676,14606.822989875784
"#119.","Al-Mahmudiya; Fuwah","",0,0,0,0,0,0,92281.00000000003,214217,27,8659.999999999993
"#120.","Bejaia","",0,0,0,0,0,0,76260.00000000006,222683,50,5564.999999999996
