"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","New York","New York City",0,0,0,87761,3863681,8845780,0,0,2745.7648093686134,14120.426663441418
"#2.","New York; Newark; Jersey City; Yonkers; Paterson; Elizabeth; New Rochelle; Mount Vernon; Brentwood; Hempstead; Levittown; New Brunswick","",0,0,0,0,0,0,11738036,14197659,3031,4684
"#3.","Los Angeles; Long Beach; Anaheim; Santa Ana; Irvine; Glendale; San Bernardino; Fontana; Huntington Beach; Ontario; Garden Grove; Rancho Cucamonga; Pomona; Torrance; Pasadena; Fullerton; Orange; Inglewood; Downey; El Monte; Costa Mesa; West Covina; Norwalk; Burbank; South Gate; Carson; Santa Monica","",0,0,0,0,0,0,8256981.999999998,13474333,4498,2996
"#4.","Chicago","",0,0,0,0,1671252,3889405,0,0,1307.2277379377203,8515.39027847937
"#5.","Miami; Hialeah; Fort Lauderdale; Pembroke Pines; Hollywood; Coral Springs; Kendall; West Palm Beach; Miramar; Pompano Beach; Sunrise; Miami Beach; Boca Raton; Deerfield Beach; Weston; Riviera Beach","",0,0,0,0,0,0,1843267.000000001,5733042,2784,2059
"#6.","Toronto; Mississauga; Brampton; Markham; Vaughan; Richmond Hill; Oakville","",0,0,0,0,0,0,2172836.999999999,5566382,1620,3436
"#7.","Chicago; Evanston; Elmhurst","",0,0,0,0,0,0,4476870,5318735,2046,2682.999999999999
"#8.","Philadelphia","",0,0,0,46285,1332190,2268024,0,0,754.5924062814937,14714.086064472927
"#9.","San Jose; San Francisco; Oakland; Fremont; Hayward; Sunnyvale; Santa Clara; Berkeley; Richmond; San Mateo; Daly City; Redwood City; Milpitas; Mountain View; Alameda; Palo Alto; South San Francisco; Cupertino","",0,0,0,0,0,0,3193625.0000000014,4718349,1614,2923
"#10.","Houston; Pasadena; Sugar Land","",0,0,0,0,0,0,343643.99999999977,4301461,1859,2314
"#11.","San Francisco","",0,0,0,0,366016,1080270,0,0,599.7537455570468,11287.83494582065
"#12.","Washington; Arlington; Alexandria; Silver Spring; Gaithersburg; Bethesda; Rockville; Reston; College Park; Fairfax; Hyattsville","",0,0,0,0,0,0,1046202.9999999995,3471725,1301,2914
"#13.","Boston","",0,0,0,28749,650927,1764000,0,0,468.065654155492,17990.216645044853
"#14.","Montreal; Laval; Longueuil","",0,0,0,0,0,0,2087129.9999999993,3221844,1020,3159
"#15.","Washington","",0,0,0,5105,272813,772165,0,0,631.3211074111651,10442.390596175179
"#16.","Phoenix; Glendale; Scottsdale; Peoria; Surprise; Avondale","",0,0,0,0,0,0,291017.99999999994,2608874,1304,2001
"#17.","Dallas; Plano; Garland; Mesquite; Carrollton; Richardson","",0,0,0,0,0,0,595408.9999999995,2577308,1237,2084
"#18.","Denver; Aurora; Lakewood; Thornton; Centennial; Westminster","",0,0,0,0,0,0,535026.0000000002,2425086,1194,2031
"#19.","Las Vegas; Henderson; North Las Vegas","",0,0,0,0,0,0,0,2371780,851,2787
"#20.","Detroit; Sterling Heights; Warren; Dearborn; Royal Oak","",0,0,0,0,0,0,2244490.0000000005,1918653,1251.0000000000005,1931.9999999999995
"#21.","Philadelphia; Camden","",0,0,0,0,0,0,1854530.9999999998,2286396,661.0000000000003,3574.000000000002
"#22.","Vancouver; Surrey; Burnaby; Richmond; Coquitlam; Port Coquitlam; New Westminster; West Vancouver; Port Moody; North Vancouver","",0,0,0,0,0,0,738634.0000000001,2198107,649,3387
"#23.","Seattle; Bellevue","",0,0,0,0,0,0,371903.0000000001,2099643,1123,1870
"#24.","Saint Louis","St. Louis",0,15000,15000,15000,586054,1005923,0,0,300.47675691652165,18250
"#25.","San Diego; Chula Vista; El Cajon","",0,0,0,0,0,0,475035.99999999965,1977279,778,2541
"#26.","Mont-Royal","",0,0,0,0,262600,14800,0,0,92.74937182482383,20130.157860685827
"#27.","Portland; Vancouver; Gresham; Hillsboro; Beaverton; Tigard","",0,0,0,0,0,0,311513.00000000023,1839776,877,2098
"#28.","Pittsburgh","",0,0,0,1565,303597,882299,0,0,389.4791781618091,8909.437992325504
"#29.","Mesa; Chandler; Gilbert; Tempe","",0,0,0,0,0,0,143486.0000000001,1724503,867,1989
"#30.","Sacramento; Elk Grove; Roseville","",0,0,0,0,0,0,220935.00000000006,1697184,759,2236
"#31.","Boston; Cambridge; Quincy; Newton; Somerville; Waltham; Revere; Chelsea","",0,0,0,0,0,0,1142390.0000000007,1669310,508,3305.9999999999995
"#32.","Detroit","Fort Pontchartrain du Détroit",0,0,0,0,283624,1607466,0,0,342.3516688438075,6207.776167127161
"#33.","Baltimore","",0,0,0,32041,492408,931544,0,0,229.1526588317378,11611.55292619167
"#34.","Austin; Round Rock","",0,0,0,0,0,0,0,1580153,628,2516
"#35.","Los Angeles","El Pueblo de la Reina de los Angeles, LA",0,0,0,0,184253,1388094,0,0,278.0630612295608,7883.770412470928
"#36.","Calgary","",0,0,0,0,0,0,67717.00000000001,1524649,533,2861
"#37.","San Antonio","",0,0,0,0,0,0,74380.00000000006,1513874,640,2365
"#38.","Houston","",0,0,0,0,55400,690541,0,0,279.3750478650668,7343.304724587572
"#39.","Cincinnati","Losantiville",0,0,10000,10000,345370,603074,0,0,192.27426828289816,18250
"#40.","San Diego","",0,0,0,0,25156,327476,0,0,268.55527534808385,8005.891178554001
"#41.","Orlando; Kissimmee","",0,0,0,0,0,0,0,1231650,750,1642
"#42.","Minneapolis; Saint Paul","",0,0,0,0,0,0,587911.9999999997,1217972,611,2014.9999999999993
"#43.","Cleveland","",0,0,0,0,0,0,1195995.0000000002,722540,542.0000000000001,2207.000000000001
"#44.","Edmonton; St. Albert","",0,0,0,0,0,0,302583.99999999977,1144486,435,2631
"#45.","Baltimore; Dundalk; Towson","",0,0,0,0,0,0,702039.0000000002,1127338,449,2544.9999999999995
"#46.","Salt Lake City; West Valley City; Sandy","",0,0,0,0,0,0,201515.00000000003,1108953,527,2104
"#47.","Vancouver","",0,0,0,0,24860,339250,0,0,131.0520789786662,22783.50377454108
"#48.","New Orleans","",0,0,0,9028,296978,579384,0,0,163.49484732529228,16054.758907238434
"#49.","Montréal","",0,0,0,22200,0,712024,0,0,1.2558820573611895,12518216.25843522
"#50.","Saint Petersburg; Clearwater","",0,0,0,0,0,0,469865.99999999994,942907,705,1337
"#51.","Cleveland","",0,0,0,0,394089,922900,0,0,177.42673050960153,5416.995474604525
"#52.","New Orleans","",0,0,0,0,0,0,794519.0000000006,821135,417,2302.0000000000005
"#53.","Hartford","Newtown",0,0,0,3350,83954,190545,0,0,172.47748125455502,14531.463545071008
"#54.","San Antonio","San Antonio da Bexar",0,0,0,0,68081,454282,0,0,150.95660283222088,7845.655921059025
"#55.","Columbus","",0,0,0,0,0,0,146402.00000000006,875004,442,1980
"#56.","Dallas","",0,0,0,0,59300,508416,0,0,113.58094030266726,8469.599403400241
"#57.","Milwaukee","",0,0,0,0,0,0,701105.0000000001,833927,391,2603.9999999999995
"#58.","St. Louis","",0,0,0,0,0,0,531683.0000000003,797220,439,2062.9999999999995
"#59.","Winnipeg","",0,0,0,0,0,0,398181.0000000001,752808,287,2623
"#60.","Fresno","",0,0,0,0,0,0,154177.99999999988,747154,334,2237
"#61.","Milwaukee","",0,0,0,0,278995,663061,0,0,104.60902653319816,8010.922162691098
"#62.","Indianapolis","",0,0,0,0,192256,430591,0,0,114.41985877964402,7763.038513280937
"#63.","Toronto","",0,0,0,0,205320,568224,0,0,113.20554384278775,15113.717389276491
"#64.","Tampa","",0,0,0,0,0,0,124451.9999999999,709023,431,1645
"#65.","Arlington; Grand Prairie","",0,0,0,0,0,0,0,698786,361,1936
"#66.","Albany","",0,0,0,7150,95892,160136,0,0,97.2421412154419,12297.6698159885
"#67.","Bakersfield","",0,0,0,0,0,0,102785,644121,298,2161
"#68.","El Paso","",0,0,0,0,0,0,126633.99999999997,639026,289.00000000000006,2211
"#69.","Pittsburgh","",0,0,0,0,0,0,638295.9999999999,490508,278.99999999999994,2288
"#70.","Oklahoma City","",0,0,0,0,21888,266002,0,0,89.49823814608577,9373.315354732704
"#71.","Memphis","",0,0,0,0,108179,406705,0,0,85.35667802304918,12581.281360501715
"#72.","Honolulu","",0,0,0,0,40500,241425,0,0,80.93694228953267,13095.152937245002
"#73.","Norfolk; Portsmouth","",0,0,0,0,0,0,203633.00000000012,622410,382.9999999999999,1687
