"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Sydney","",0,0,0,0,0,0,2253885.9999999995,4375394,1378,3175
"#2.","Melbourne","",0,0,0,0,0,0,1905310.0000000014,4010658,1611,2490
"#3.","Sydney (agglomeration)","",0,0,0,2000,457204,960326,0,0,407.13489088387075,10630.949719040653
"#4.","Auckland","",0,0,0,0,0,0,613557.9999999994,1623898,638,2545
"#5.","Brisbane; Logan City","",0,0,0,0,0,0,346683.99999999977,1359105,701,1939
"#6.","Perth; Joondalup","",0,0,0,0,0,0,521076.00000000023,1357382,784,1731
"#7.","Melbourne (agglomeration)","",0,0,0,0,469388,709180,0,0,112.48412325056582,97650.69191248114
"#8.","Adelaide","",0,0,0,0,0,0,556825.0000000002,938328,493,1903
"#9.","Brisbane (agglomeration)","",0,0,0,0,108300,413300,0,0,92.88308857695012,27942.535684434464
"#10.","Adelaide (agglomeration)","",0,0,0,0,159600,395167,0,0,38.10156129067098,88798.20817937439
"#11.","Port Louis; Vacoas-Phoenix; Beau Bassin-Rose Hill; Quatre Bornes; Curepipe","",0,0,0,0,0,0,420205.0000000001,557431,142.99999999999994,4238.000000000002
"#12.","Point Cook; Werribee; Wyndham Vale; Altona Meadows; Seabrook; Manor Lakes; Hoppers Crossing; Williams Landing; Tarneit; Laverton","",0,0,0,0,0,0,0,501408,126,3979
"#13.","Perth","",0,0,0,0,6080,197529,0,0,1.2554393305807674,5083078.795175401
"#14.","Newcastle (agglomeration)","",0,0,0,0,51500,149014,0,0,31.476599334705337,69737.24338209824
"#15.","Gold Coast","",0,0,0,0,0,0,0,279191,208,1662
"#16.","Christchurch (agglomeration)","",0,0,0,0,51727,177946,0,0,22.52823819113596,48995.5430964008
"#17.","Christchurch","",0,0,0,0,0,0,197372.00000000017,278356,124.00000000000003,2245
"#18.","Wellington (agglomeration)","",0,0,0,0,46920,188940,0,0,30.510724983471196,18401.251692737227
"#19.","Suva","",0,0,0,0,0,0,87216.00000000006,242910,78,3155
"#20.","Auckland","",0,0,0,0,33640,41050,0,0,19.042161181684733,93996.7148844112
"#21.","Newcastle","",0,0,0,0,0,0,52798.99999999997,205366,126,1641.0000000000005
"#22.","Wollongong (agglomeration)","",0,0,0,0,3940,74914,0,0,27.574658243600986,15555.384739049452
"#23.","Saint-Denis","",0,0,0,0,0,0,101667.99999999997,189854,60,5350.999999999999
"#24.","North Lakes; Deception Bay; Kallangur","",0,0,0,0,0,0,0,179797,63,2854
"#25.","Hamilton","",0,0,0,0,0,0,0,176223,80,2203
"#26.","Geelong","",0,0,0,0,0,0,71247.99999999996,165825,104,1594
"#27.","Bankstown","",0,0,0,0,2940,94739,0,0,23.073397352188447,12860.306197151616
"#28.","Canberra","",0,0,0,0,0,20814,0,0,25.395654611966858,22824.32523916387
"#29.","Wellington","",0,0,0,0,0,0,81141.99999999994,154120,64,2408
"#30.","Noum�a","",0,0,0,0,0,0,0,153190,76,2490
"#31.","Wollongong","",0,0,0,0,0,0,0,149057,108.00000000000003,1380
"#32.","Honiara","",0,0,0,0,0,0,0,137201,39,3518
"#33.","Hobart (agglomeration)","",0,0,0,0,36700,84514,0,0,11.29712755852526,18688.779390952397
"#34.","Canterbury","",0,0,0,0,0,98006,0,0,9.441115343097328,14311.541417775361
"#35.","Mamoudzou; Koungou; Kaw�ni; Majicavo-Koropa","",0,0,0,0,0,0,0,127511,26.000000000000004,4904
"#36.","Tauranga","",0,0,0,0,0,0,0,122546,105,1167
