"region","year","rural_population","total_population","urban_population","rural_share","urban_share"
"northern_america","0",924363,924363,0,1,0
"northern_america","100",1378330,1378330,0,1,0
"northern_america","200",1398900,1398900,0,1,0
"northern_america","300",1407744,1407744,0,1,0
"northern_america","400",1565519,1565519,0,1,0
"northern_america","500",1590311,1590311,0,1,0
"northern_america","600",1728715,1728715,0,1,0
"northern_america","700",1881532,1881532,0,1,0
"northern_america","800",2131799,2131799,0,1,0
"northern_america","900",2159906,2159906,0,1,0
"northern_america","1000",2460154,2475154,15000,0.9939397710203083,0.006060228979691769
"northern_america","1100",2641132,2656132,15000,0.9943526903030422,0.005647309696957832
"northern_america","1200",2870603,2885603,15000,0.9948017797320006,0.005198220267999444
"northern_america","1300",3262395,3277395,15000,0.9954231943357453,0.00457680566425469
"northern_america","1400",3642302,3657302,15000,0.9958986159742892,0.004101384025710756
"northern_america","1500",4997360,5022360,25000,0.995022260451262,0.004977739548738044
"northern_america","1600",1416601,1441601,25000,0.9826581696322353,0.017341830367764727
"northern_america","1700",2004522,2040622,36100,0.9823093154930213,0.017690684506978756
"northern_america","1710",2636345,2681987,45642,0.9829820204199349,0.01701797958006508
"northern_america","1720",3206375,3264700,58325,0.9821346524948693,0.01786534750513064
"northern_america","1730",3796974,3861650,64676,0.9832517188248546,0.01674828117514534
"northern_america","1740",4335890,4406917,71027,0.9838828369129712,0.016117163087028867
"northern_america","1750",4873143,4962806,89663,0.9819330032243856,0.01806699677561444
"northern_america","1760",5050052,5157954,107902,0.9790804648509854,0.020919535149014512
"northern_america","1770",5518526,5645944,127418,0.9774319405222581,0.022568059477741896
"northern_america","1780",5768075,5923466,155391,0.9737668790535812,0.02623312094641887
"northern_america","1790",6198299,6432201,233902,0.9636357756854924,0.03636422431450759
"northern_america","1800",8066634,8423275,356641,0.9576600550261033,0.04233994497389673
"northern_america","1810",9678373,10155844,477471,0.9529855913501625,0.047014408649837476
"northern_america","1820",12499354,13182361,683007,0.9481878094523432,0.05181219054765683
"northern_america","1830",15451059,16483129,1032070,0.9373862814517802,0.06261371854821982
"northern_america","1840",19604171,21353211,1749040,0.9180900708563222,0.08190992914367773
"northern_america","1850",26211960,29256961,3045001,0.8959221704537256,0.10407782954627448
"northern_america","1860",33358358,38069989,4711631,0.8762376579620236,0.12376234203797642
"northern_america","1870",42673804,49855175,7181371,0.8559553546848446,0.14404464531515535
"northern_america","1880",53450870,63629860,10178990,0.8400280937283219,0.15997190627167812
"northern_america","1890",62863041,77429787,14566746,0.8118715475738039,0.18812845242619614
"northern_america","1900",77789978,104953686,27163708,0.7411838589451732,0.2588161410548268
"northern_america","1910",86561079,125672560,39111481,0.6887826507234356,0.3112173492765644
"northern_america","1920",101448620,153000483,51551863,0.663060782625111,0.33693921737488897
"northern_america","1930",117640708,177863003,60222295,0.6614119070057531,0.3385880929942468
"northern_america","1940",122529353,194400143,71870790,0.6302945620775597,0.3697054379224402
"northern_america","1950",158204357,242232248,84027891,0.6531102208984164,0.34688977910158353
"northern_america","1951",136385787,222042300,85656513,0.61423335553631,0.38576664446369
"northern_america","1952",138617020,225798275,87181255,0.6138976039564519,0.3861023960435482
"northern_america","1953",141036779,229742787,88706008,0.6138899107200262,0.38611008927997376
"northern_america","1954",143385973,233616736,90230763,0.613765843385467,0.386234156614533
"northern_america","1955",145843227,237599342,91756115,0.613819995343253,0.3861800046567469
"northern_america","1956",148101777,241383202,93281425,0.6135546126362181,0.38644538736378187
"northern_america","1957",150438115,245244900,94806785,0.613419952871599,0.38658004712840105
"northern_america","1958",152359393,248691489,96332096,0.6126441785870685,0.3873558214129314
"northern_america","1959",154708498,252565932,97857434,0.6125469764465304,0.3874530235534696
"northern_america","1960",162329070,264988776,102659706,0.6125884743133423,0.38741152568665777
"northern_america","1961",156816967,261526513,104709546,0.5996216796573891,0.40037832034261095
"northern_america","1962",157868418,264568054,106699636,0.5967024953058013,0.4032975046941986
"northern_america","1963",158850232,267539939,108689707,0.5937439942378099,0.4062560057621901
"northern_america","1964",160362275,261933315,101571040,0.6122255773382625,0.3877744226617374
"northern_america","1965",161229154,264626721,103397567,0.6092701197775111,0.39072988022248895
"northern_america","1966",161662524,267450836,105788312,0.604456977655512,0.395543022344488
"northern_america","1967",162035121,269904341,107869220,0.6003427747758974,0.39965722522410263
"northern_america","1968",162212881,272461900,110249019,0.5953598686642059,0.40464013133579413
"northern_america","1969",162533296,274934474,112401178,0.5911710293558894,0.40882897064411067
"northern_america","1970",166715175,284857982,118142807,0.585257165094991,0.4147428349050089
"northern_america","1971",164758538,287262054,122503516,0.5735478658103587,0.42645213418964134
"northern_america","1972",165163609,291948838,126785229,0.5657279204515964,0.43427207954840363
"northern_america","1973",165783055,297085154,131302099,0.5580321088680184,0.44196789113198165
"northern_america","1974",165602579,301308506,135705927,0.5496113641079884,0.4503886358920116
"northern_america","1975",103107626,227193812,124086186,0.4538311369149438,0.5461688630850562
"northern_america","1976",104266888,230168611,125901723,0.4530022036758088,0.5469977963241912
"northern_america","1977",107638594,235321382,127682788,0.457411022683863,0.542588977316137
"northern_america","1978",110013678,239477416,129463738,0.45939061744344195,0.5406093825565581
"northern_america","1979",111384615,242631228,131246613,0.4590695761553002,0.5409304238446998
"northern_america","1980",123098090,247921007,124822917,0.496521418211245,0.503478581788755
"northern_america","1981",125304720,251203976,125899256,0.4988166270107126,0.5011833729892874
"northern_america","1982",128780360,256719327,127938967,0.5016387410520128,0.4983612589479872
"northern_america","1983",131217499,261138805,129921306,0.5024818084772962,0.4975181915227038
"northern_america","1984",133953838,265857459,131903621,0.5038558575856997,0.49614414241430027
