"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Jakarta; Bekasi; Tangerang; South Tangerang; Depok; Bogor; Serang; Sukabumi; Cianjur","",0,0,0,0,0,0,11548080.999999987,40545126,4614,8787
"#2.","Quezon City; Manila; Caloocan; Antipolo; Taguig; Pasig; Valenzuela; Para�aque; Dasmari�as; San Jose del Monte; Las Pi�as; Bacoor; Makati; Muntinlupa; Marikina; Calamba; Mandaluyong; Pasay; Bi�an; Imus; Malabon; Santa Rosa; San Pedro; General Trias; Cabuyao; Malolos; Navotas; Meycauayan; Baliwag; Trece Martires; San Juan; Carmona; Cavite City","",0,0,0,0,0,0,8456581.000000004,25921189,2555,10145
"#3.","Bangkok; Nonthaburi; Pak Kret; Rangsit; Samut Sakhon; Om Noi; Samut Prakan","",0,0,0,0,0,0,3698830.000000001,19048032,2697,7063
"#4.","Ho Chi Minh City; Th? ??c; Th? D?u M?t; Thu?n An; D? An; Bi�n H�a","",0,0,0,0,0,0,2408545.0000000005,14557830,1487,9790
"#5.","Bandung; Cimahi","",0,0,0,0,0,0,3459050.000000002,8691181,988,8797
"#6.","Kuala Lumpur; Kajang; Klang; Subang Jaya; Petaling Jaya; Selayang; Shah Alam; Ampang Jaya","",0,0,0,0,0,0,520770.0000000001,8413206,1340,6279
"#7.","Surabaya; Sidoarjo; Bangil; Mojokerto","",0,0,0,0,0,0,3609384,6856993,1304,5258.999999999996
"#8.","Yangon","",0,0,0,0,0,0,1964572.0000000005,6190958,545,11360
"#9.","Singapore","",0,0,0,0,0,0,1973457.0000000005,5117759,438,12015.000000000011
"#10.","Hanoi; T? S?n","",0,0,0,0,0,0,1508203.000000001,4965520,925,7579.000000000002
"#11.","Medan; Binjai","",0,0,0,0,0,0,1687774.000000001,4350624,607,7167
"#12.","Jakarta","Djakarta, Batavia, Jacatra",0,0,0,55000,45725,1784302,0,0,152.085037867252,135653.39092304427
"#13.","Krung Thep","Bangkok",0,0,0,45000,540543,777577,0,0,331.25273006533354,42896.01444708736
"#14.","Lewe","",0,0,0,0,0,0,3735465.999999998,59557,173.00000000000006,26306.00000000002
"#15.","Thành Phô Hô' Chí Minh","Ho Chi Minh City, Saigon, Gia Dinh",0,0,0,0,101337,1131238,0,0,238.84119536451456,54795.92199211024
"#16.","Semarang; Kendal; Ungaran","",0,0,0,0,0,0,1604779.999999999,3274360,603,5430
"#17.","Cebu City; Lapu-Lapu; Mandaue; Talisay; Danao; Carcar; Naga","",0,0,0,0,0,0,563499.0000000002,3191585,416,7672
"#18.","Manila","Manilla",0,0,0,76803,206609,954581,0,0,295.0171667021139,28845.48305169464
"#19.","Yangôn","Rangoon",0,0,0,30000,229440,658825,0,0,516.4844388828405,15061.898211829437
"#20.","Tasikmalaya","",0,0,0,0,0,0,1083322.9999999998,2923169,546,5416.999999999997
"#21.","Yogyakarta; Klaten","",0,0,0,0,0,0,1734540.0000000002,2742763,677.9999999999998,4942
"#22.","Phnom Penh; Ta Khmao","",0,0,0,0,0,0,73539,2419131,358,8671
"#23.","Makassar","",0,0,0,0,0,0,806069.9999999998,2241888,343,6576.999999999995
"#24.","Palembang","",0,0,0,0,0,0,1087970.9999999995,2203124,245.0000000000001,8992
"#25.","Singapore","Singapur, Singapura, Xinjiapo",0,0,0,0,190090,881522,0,0,231.76677448379633,16637.946227300574
"#26.","Denpasar","",0,0,0,0,0,0,296755.00000000023,2005950,388,5170
"#27.","Pyinmana; Za Bu Thi Ri","",0,0,0,0,0,0,1913635.9999999995,556726,171.00000000000006,18053.000000000015
"#28.","Malang; Batu","",0,0,0,0,0,0,1174646,1888200,329.99999999999994,5792
"#29.","Mandalay","",0,0,0,0,0,0,572395.0000000005,1849446,205,9022
"#30.","Johor Bahru; Pasir Gudang","",0,0,0,0,0,0,132778.99999999994,1703324,418,4075
"#31.","C?n Th?","",0,0,0,0,0,0,71584.00000000006,1652649,329,6502.0000000000055
"#32.","Davao City","",0,0,0,0,0,0,208812.0000000001,1651086,227,7274
"#33.","Slawi; Tegal; Brebes","",0,0,0,0,0,0,1158062.0000000002,1482144,404.99999999999983,4556
"#34.","Cirebon","",0,0,0,0,0,0,765487,1634253,267,6121
"#35.","Surabaya","Soerabaja",0,0,0,50000,145925,822242,0,0,171.00065854250764,51527.53010054786
"#36.","Surakarta; Karanganyar; Boyolali","",0,0,0,0,0,0,1310679.9999999995,1497108,394,4353.999999999996
"#37.","Angeles; San Fernando; Mabalacat","",0,0,0,0,0,0,214014.99999999985,1513047,308,4912
"#38.","Tarogong; Garut","",0,0,0,0,0,0,554523.9999999998,1473082,310,6761.999999999998
"#39.","Purwokerto; Purbalingga","",0,0,0,0,0,0,1136057.0000000005,1273365,328.0000000000001,6566.999999999996
"#40.","Batam City","",0,0,0,0,0,0,0,1411731,186,7590
"#41.","Ha nôi","Hanoi, Dong Kinh, Tong King, Kescho",0,0,45000,59822,97980,267433,0,0,90.93866110909875,90924.5453220809
"#42.","Pekalongan","",0,0,0,0,0,0,976285.9999999993,1279644,307,5334.999999999996
"#43.","Bandar Lampung","",0,0,0,0,0,0,143396,1257828,176,7147
"#44.","Pekanbaru","",0,0,0,0,0,0,93734.99999999994,1226041,234,5239
"#45.","Samarinda","",0,0,0,0,0,0,181954.00000000012,1225373,157,7805
"#46.","Padang","",0,0,0,0,0,0,366958.9999999999,1210988,216,5606
"#47.","?� N?ng","",0,0,0,0,0,0,218171.9999999999,1178696,225,5239
"#48.","Bandung","Bandoeng",0,0,0,0,100727,658382,0,0,102.04034602738132,52206.52921762316
"#49.","H?i Ph�ng","",0,0,0,0,0,0,574621,922307,244.00000000000006,9121.000000000002
"#50.","Mataram","",0,0,0,0,0,0,202505.00000000012,1009677,195,5178
"#51.","Dagupan","",0,0,0,0,0,0,0,973316,359,2711
"#52.","Sembawang; Yishun; Simpang; Mandai; Woodlands; Senoko","",0,0,0,0,0,0,206543.99999999985,960308,66,14550
"#53.","Cagayan de Oro","",0,0,0,0,0,0,120122.00000000004,950102,127,7481
"#54.","Jambi","",0,0,0,0,0,0,267944.00000000006,945977,134,7060
"#55.","Banjarmasin","",0,0,0,0,0,0,466415.9999999997,924566,113,8182
"#56.","Hãi Phong","Haiphong, Haifong",0,0,0,0,0,135625,0,0,97.90218418831769,27210.09913150396
"#57.","Ciledug","Tjiledoeg, Chiledug",0,0,0,0,0,428067,0,0,91.16680732272732,11940.468217405261
"#58.","Quezon City","",0,0,0,0,0,156333,0,0,92.80430117475721,13478.313395391831
"#59.","Ipoh","",0,0,0,0,0,0,215996.00000000017,861933,227,3797
"#60.","Pontianak","",0,0,0,0,0,0,266012.9999999998,839275,158,5471.9999999999945
"#61.","Kota Kinabalu","",0,0,0,0,0,0,59196.000000000015,810843,171,4742
"#62.","Medan","",0,0,0,0,11067,233101,0,0,144.86062458020407,11712.855289976762
"#63.","Cilacap","",0,0,0,0,0,0,732853.9999999994,509026,101.99999999999996,11103.999999999996
"#64.","Lipa; Santo Tomas; Tanauan","",0,0,0,0,0,0,0,767541,210,3924.0000000000023
"#65.","Semarang","Samarang",0,0,0,20000,87675,363038,0,0,99.58107832786662,29839.321691373363
"#66.","George Town; George Town","",0,0,0,0,0,0,297160.00000000006,756641,134,5647
"#67.","Tulungagung","",0,0,0,0,0,0,370900.0000000001,673629,254,4755.000000000001
"#68.","Iloilo City","",0,0,0,0,0,0,260220.99999999988,728985,170,5025.000000000001
"#69.","Jepara","",0,0,0,0,0,0,433523.9999999998,682384,171.00000000000006,5558.000000000004
"#70.","Balikpapan","",0,0,0,0,0,0,176562.99999999994,702531,116,6056
"#71.","Chiang Mai","",0,0,0,0,0,0,0,692242,225,3077
"#72.","Bacolod; Talisay","",0,0,0,0,0,0,237063.00000000003,690717,126,5482
"#73.","Cilegon","",0,0,0,0,0,0,100824.99999999994,686540,188,3652
"#74.","Kudus","",0,0,0,0,0,0,348083.99999999994,638838,164.00000000000006,6694.0000000000055
"#75.","Kuningan","",0,0,0,0,0,0,276325.00000000006,657482,179,3673
"#76.","Palembang","",0,0,0,25000,56075,258923,0,0,74.99382768114974,23769.390591614327
"#77.","Cianjur","Tjiandjur",0,0,0,0,0,47703,0,0,83.93564711820922,14443.996176188482
"#78.","Thon Buri","",0,0,0,0,0,184723,0,0,52.68545706794369,13852.735063388205
"#79.","Kuala Lumpur","D.B. Kuala Lumpur",0,0,0,0,47000,218060,0,0,58.99437319662838,30974.170731708073
"#80.","Baguio","",0,0,0,0,0,0,104620,599130,84,7133
"#81.","Pare","",0,0,0,0,0,59518,0,0,77.72994191451554,14076.819966693158
"#82.","Cipanas; Palasari; Sindanglaya; Gadog; Sukanagalih; Cibodas; Mangunkerta; Nyalindung; Ciputri; Ciherang","",0,0,0,0,0,0,433187.00000000035,535166,65,9277.000000000007
"#83.","Zamboanga City","",0,0,0,0,0,0,126616.9999999999,591536,103,5981.999999999996
"#84.","Kuching","",0,0,0,0,0,0,170174,587986,131,4488
"#85.","Cilacap","Tjilatjap, Chilachap, Chilatjap",0,0,0,0,0,46200,0,0,86.83149693442006,18243.38643711467
"#86.","Long Xuy�n","",0,0,0,0,0,0,184362.00000000006,550869,186,26336.99999999999
"#87.","Jember","",0,0,0,0,0,0,559914.9999999999,506311,96,8357.000000000002
"#88.","Ambon","",0,0,0,0,0,0,87266.00000000003,559282,74,7558
"#89.","Malacca City","",0,0,0,0,0,0,0,544035,204,2832
"#90.","Selong; Kecamatan Selong; Kecamatan Sukamulia; Kecamatan Suralaga; Kecamatan Montong Gading; Kecamatan Masbagik; Kecamatan Wanasaba; Kecamatan Aikmel","",0,0,0,0,0,0,153811.99999999994,530299,145,5696.999999999996
"#91.","Kupang","",0,0,0,0,0,0,172187.99999999988,529747,119,4702.000000000003
"#92.","Indramayu","",0,0,0,0,0,24103,0,0,68.29513312465545,17093.977453841213
"#93.","Ujungpandang","Makasar",0,0,0,0,21063,280359,0,0,66.01570491378618,16648.873862073182
"#94.","Klaten","",0,0,0,0,0,25806,0,0,71.92592092653675,14620.261279079607
"#95.","Vi?t Tr�","",0,0,0,0,0,0,337809.99999999977,105305,105.99999999999997,12511.000000000007
"#96.","Jember","Djember",0,0,40000,40000,40000,79585,0,0,61.61984221574866,18250
"#97.","Jolo","",0,0,0,0,0,0,507828.9999999996,62923,26.000000000000004,22671.999999999993
"#98.","Balung; Puger; Ambulu; Wuluhan","",0,0,0,0,0,0,187855.99999999994,467849,156,5217.999999999997
"#99.","Gorontalo","",0,0,0,0,0,0,178865,504226,93,5696.999999999996
"#100.","Bukit Mertajam; Butterworth","",0,0,0,0,0,0,169311.99999999994,497722,164,3035
"#101.","Purwakarta","",0,0,0,0,0,0,162380.99999999988,497388,104,5413
"#102.","Kebumen","",0,0,0,0,0,43982,0,0,67.39881490323499,13729.651237642438
"#103.","Kediri","",0,0,0,0,0,0,358459.99999999965,489667,128.99999999999997,4295
"#104.","Kebumen","",0,0,0,0,0,0,478529.00000000006,300132,83.99999999999997,9765.999999999993
"#105.","M? Tho; T�n An","",0,0,0,0,0,0,145899.00000000003,461520,146,9760.000000000007
"#106.","-Dà Nãng","Tourane, Turan, Danang",0,0,0,0,0,65967,0,0,75.02815988611586,16004.11332647018
"#107.","Manado","",0,0,0,0,0,0,192145.99999999985,483104,94,6192.000000000004
"#108.","Jombang","",0,0,0,0,0,0,253024.00000000017,464248,130,5884.000000000004
"#109.","V?ng T�u","",0,0,0,0,0,0,66310.00000000004,476737,99,4816
"#110.","General Santos","",0,0,0,0,0,0,72142.99999999996,470212,103,4590.000000000002
"#111.","Pematang Siantar","",0,0,0,0,0,0,365871,448228,76,9380.999999999995
"#112.","Phuket","",0,0,0,0,0,0,0,462804,124,3780.9999999999986
"#113.","Phnom Penh","Phnum Penh, Panompeng",0,70000,70000,70000,41091,151429,0,0,32.057375295288566,66536.4583333333
"#114.","Surakarta","Solo",0,0,0,92031,125000,339282,0,0,36.36969498366432,21081.15582845531
"#115.","Nha Trang","",0,0,0,0,0,0,196080.00000000003,443636,99,6973.999999999999
"#116.","Bekasi","",0,0,0,0,0,0,0,0,50.80750896093967,9869.48291243276
"#117.","Blitar","",0,0,0,0,0,0,259348.00000000003,413350,166.00000000000006,3241.9999999999977
"#118.","Port Moresby","",0,0,0,0,0,0,64662.00000000001,442165,72,6141
"#119.","Hat Yai","",0,0,0,0,0,0,0,436777,81,5427.999999999997
"#120.","T�y Ninh","",0,0,0,0,0,0,0,436732,103,4240
