"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#1.","Kinshasa","",0,0,0,0,0,0,1076727.999999999,12945683,487,26583
"#2.","Lagos; Ikeja","",0,0,0,0,0,0,2644629.999999999,12846045,1199,10714
"#3.","Luanda","",0,0,0,0,0,0,0,11672134,936,12470
"#4.","Dar es-Salaam","",0,0,0,0,0,0,356635.99999999977,8918525,907,9833
"#5.","Johannesburg; Soweto; Randburg; Roodepoort; Krugersdorp; Sandton","",0,0,0,0,0,0,1819983.9999999998,8592843,1756,4893
"#6.","Addis Ababa","",0,0,0,0,0,0,882702.0000000008,7280463,465,15657
"#7.","Khartoum; Omdurman; Bahri; East Nile","",0,0,0,0,0,0,1097203.9999999998,7114789,958,7427
"#8.","Nairobi","",0,0,0,0,0,0,564450.9999999999,6646257,598,11114
"#9.","Abidjan; Abobo; Yopougon; Cocody; Koumassi; Port-Bou�t; Adjam�; Marcory; Att�coub�; Anyama; Le Plateau; Treichville","",0,0,0,0,0,0,1038671.9999999995,6450316,503,12824
"#10.","Accra; Tema","",0,0,0,0,0,0,1097817.9999999995,5890466,1121,5255
"#11.","Onitsha; Nnewi","",0,0,0,0,0,0,788974,5788296,1090,5310
"#12.","Yaound�","",0,0,0,0,0,0,453452.00000000023,5479204,313,17505
"#13.","Kampala; Kira; Nansana; Entebbe; Wakiso","",0,0,0,0,0,0,608044.9999999997,5177878,810,6392
"#14.","Kano","",0,0,0,0,0,0,772213.0000000002,5110616,419,12197
"#15.","Kumasi","",0,0,0,0,0,0,413719.99999999994,4923115,469,10497
"#16.","Mogadishu","",0,0,0,0,0,0,439338.0000000002,4798453,186,25798
"#17.","Douala","",0,0,0,0,0,0,401131.0000000003,4457862,280,15921
"#18.","Cape Town","",0,0,0,0,0,0,1217518.0000000007,4338251,695,6242
"#19.","Antananarivo","",0,0,0,0,0,0,290641.0000000002,4255254,442,9627
"#20.","Ibadan","",0,0,0,0,0,0,818106,4043955,574,7045
"#21.","Dakar; Gu�diawaye; Pikine; Rufisque","",0,0,0,0,0,0,915759.9999999997,3970202,277,14333
"#22.","Bamako","",0,0,0,0,0,0,353009.9999999997,3960563,407,9731
"#23.","Lusaka","",0,0,0,0,0,0,253861,3658064,360,10161
"#24.","Ouagadougou","",0,0,0,0,0,0,159658.99999999988,3616268,495,7306
"#25.","Kasa�-Oriental","",0,0,0,0,0,0,894316.0000000006,3596107,134,26837
"#26.","Owerri","",0,0,0,0,0,0,64647.000000000044,3594823,1144,3142
"#27.","Maputo; Matola","",0,0,0,0,0,0,552207.9999999999,3533370,570,6199
"#28.","Durban","",0,0,0,0,0,0,619496.9999999995,3270868,807,4053
"#29.","Brazzaville","",0,0,0,0,0,0,1192902.9999999993,3190743,201,17726
"#30.","Coyah; Dubr�ka","",0,0,0,0,0,0,605272,2991111,305,9807
"#31.","Lubumbashi","",0,0,0,0,0,0,222729.99999999988,2907724,354,8214
"#32.","Cotonou; Abomey-Calavi","",0,0,0,0,0,0,377577.99999999977,2647117,479,6419.999999999995
"#33.","Port Harcourt","",0,0,0,0,0,0,276100.00000000006,2623780,310,8464
"#34.","Lom�","",0,0,0,0,0,0,202572,2498074,346,7220
"#35.","Freetown; Waterloo","",0,0,0,0,0,0,318251.0000000001,2150533,205,10490
"#36.","Harare; Chitungwiza","",0,0,0,0,0,0,497853.99999999977,2076037,603,3992.999999999999
"#37.","Monrovia","",0,0,0,0,0,0,181815.99999999983,2049818,302,6787
"#38.","Kinshasa","",0,0,0,0,0,178210,0,0,424.7195160450816,15269.774733940572
"#39.","Kaduna","",0,0,0,0,0,0,372326.0000000002,1937932,304.00000000000006,6375
"#40.","Benin City","",0,0,0,0,0,0,319217.00000000006,1912370,386,5453.999999999997
"#41.","N'Djamena","",0,0,0,0,0,0,215805.9999999999,1910082,222,8604
"#42.","Beni","",0,0,0,0,0,0,478080.0000000004,1872705,70,26753
"#43.","Pretoria","",0,0,0,0,0,0,591279.9999999999,1826232,477,3829
"#44.","Nouakchott","",0,0,0,0,0,0,63947.99999999995,1625384,178,9131
"#45.","Kigali","",0,0,0,0,0,0,69469.00000000006,1621760,286,5670
"#46.","Mombasa","",0,0,0,0,0,0,210742.99999999983,1617739,181,8938
"#47.","Warri","",0,0,0,0,0,0,160848.99999999988,1617739,207,7815
"#48.","Uyo","",0,0,0,0,0,0,0,1606054,271,5926
"#49.","Niamey","",0,0,0,0,0,0,165420.00000000012,1600656,222,7210
"#50.","Kananga","",0,0,0,0,0,0,109345.00000000001,1538649,94,16369
"#51.","Hargeisa","",0,0,0,0,0,0,252009.99999999977,1500449,84,17862
"#52.","Aba","",0,0,0,0,0,0,351187,1472091,187,7872
"#53.","Klipgat; SofaSonke; Ga-Rankuwa; Mothutlung","",0,0,0,0,0,0,0,1463579,393,3724
"#54.","Bujumbura","",0,0,0,0,0,0,117845.00000000004,1403419,141,9953
"#55.","Ilorin","",0,0,0,0,0,0,342706.00000000023,1359617,215,6324
"#56.","Lubango","",0,0,0,0,0,0,0,1331213,146,9118
"#57.","Abuja","",0,0,0,0,0,0,0,1322229,319,4145
"#58.","Serrekunda","",0,0,0,0,0,0,102717.99999999991,1313465,181,7257
"#59.","Bobo-Dioulasso","",0,0,0,0,0,0,111692.00000000003,1297389,170,7632
"#60.","Maiduguri","",0,0,0,0,0,0,237354,1293406,157,8238
"#61.","Aboh; Nnarambia","",0,0,0,0,0,0,64815.00000000001,1282172,365,3513
"#62.","Bangui; B�goua; Bimbo","",0,0,0,0,0,0,374313.99999999965,1270414,122,10413
"#63.","Sekondi-Takoradi","",0,0,0,0,0,0,188531.00000000017,1255809,136,9234
"#64.","Cabinda","",0,0,0,0,0,0,0,1220204,98,12451
"#65.","Touba","",0,0,0,0,0,0,292141.00000000023,1170259,161,7832.000000000002
"#66.","Enugu","",0,0,0,0,0,0,261201.00000000015,1086434,165,6584
"#67.","Adis Abeba","Addis Ababa, Addis Abeba, Âddîs Âbebâ",0,0,0,0,18708,360985,0,0,149.64240068059644,13056.478020168572
"#68.","U�ge","",0,0,0,0,0,0,1038544.0000000007,237786,43,35812.00000000002
"#69.","Tshikapa","",0,0,0,0,0,0,182062,1074735,52.00000000000001,20668
"#70.","Malanje","",0,0,0,0,0,0,61275.000000000044,1052124,79,13318
"#71.","Nyala","",0,0,0,0,0,0,77283.00000000006,1038790,104,9988
"#72.","Otite; Eika-Adagu New Layout; Nagazi; Ozuri; Uhuodo; Eika -Adagu","",0,0,0,0,0,0,208578.00000000006,1036027,108,10355.000000000005
"#73.","Nampula","",0,0,0,0,0,0,115381.99999999991,1028776,119,8645
"#74.","Zanzibar City","",0,0,0,0,0,0,91119.99999999994,1026755,121,8486
"#75.","Lilongwe","",0,0,0,0,0,0,0,1018798,136,7491
"#76.","Mwanza","",0,0,0,0,0,0,0,977475,175,5586
"#77.","Jos","",0,0,0,0,0,0,170941.99999999985,965885,202,4782
"#78.","Sokoto","",0,0,0,0,0,0,217153.00000000012,953790,110,8671
"#79.","Blantyre; Limbe","",0,0,0,0,0,0,0,941888,191,6606.999999999996
"#80.","Kisangani","",0,0,0,0,0,0,249413.99999999983,929056,100,9291
"#81.","Libreville; Owendo","",0,0,0,0,0,0,131815,917056,196,4679
"#82.","Umuahia","",0,0,0,0,0,0,0,916557,141,6663.000000000002
"#83.","Luena","",0,0,0,0,0,0,0,892162,82,10880
"#84.","Cuito","",0,0,0,0,0,0,0,879632,85,10349
"#85.","Kalemie","",0,0,0,0,0,0,0,872445,53,16461
"#86.","Ikorodu","",0,0,0,0,0,0,84862.00000000004,863150,303,3599.999999999998
"#87.","Bukavu","",0,0,0,0,0,0,334607.99999999977,852067,65,13109
"#88.","Cape Town","Kaapstad",0,0,0,0,41108,390508,0,0,103.00381785638508,20007.04199711135
"#89.","Oshogbo","",0,0,0,0,0,0,209350.99999999994,832611,157,5952.0000000000055
"#90.","Ibadan","",0,0,0,0,173545,421514,0,0,88.71212055404237,16788.557364257846
"#91.","Porto-Novo","",0,0,0,0,0,0,202206.99999999983,815040,149,5470
"#92.","Abeokuta","",0,0,0,0,0,0,229874.00000000006,806897,174,4637
"#93.","Nsukka","",0,0,0,0,0,0,103301.00000000006,806617,194,4158
"#94.","Arusha","",0,0,0,0,0,0,0,806518,169,4772
"#95.","Gqeberha","",0,0,0,0,0,0,287556,806319,217,3716
"#96.","Oyo","",0,0,0,0,0,0,104002.00000000009,791681,120,6597
"#97.","Bata","",0,0,0,0,0,0,0,789800,88.00000000000003,8975
"#98.","Kamina","",0,0,0,0,0,0,0,782856,40,19571
"#99.","Goma","",0,0,0,0,0,0,171884.99999999994,775781,84,9235
"#100.","Tamale","",0,0,0,0,0,0,65367.99999999998,774162,132,5865
"#101.","Pointe-Noire","",0,0,0,0,0,0,258121,665656,186.00000000000009,4823.999999999998
"#102.","Yola; Jimeta","",0,0,0,0,0,0,214374,763630,112,6818
"#103.","Zinder","",0,0,0,0,0,0,127747.99999999993,748965,46,16282
"#104.","Lagos","",0,0,0,0,38000,240771,0,0,80.16250336001792,19056.639151801905
"#105.","Evaton; Sebokeng; Johandeo AH","",0,0,0,0,0,0,286071.9999999998,738087,120,6151
"#106.","Djibouti","",0,0,0,0,0,0,75816,735132,69,10654
"#107.","Kitwe","",0,0,0,0,0,0,113481.00000000009,731813,117,6255
"#108.","Malabo","",0,0,0,0,0,0,0,729478,71,10274
"#109.","Kebkabiya","",0,0,0,0,0,0,111288.99999999994,727487,21,34642
"#110.","Zaria","",0,0,0,0,0,0,193701.00000000015,720877,102,7067
"#111.","Lokoja","",0,0,0,0,0,0,0,715746,96,7456
"#112.","Akure","",0,0,0,0,0,0,169982.99999999988,712938,171,4864.999999999995
"#113.","Likasi","",0,0,0,0,0,0,0,712507,65,10962
"#114.","Bouak�","",0,0,0,0,0,0,172784.99999999985,704949,106,6650
"#115.","Huambo","",0,0,0,0,0,0,190802.99999999997,582510,94,8554.000000000004
"#116.","Garoua","",0,0,0,0,0,0,155931.00000000003,699541,67,10441
"#117.","Al-Ubayyid","",0,0,0,0,0,0,172412.99999999994,679642,83.00000000000003,8188
"#118.","Accra","Akkra, Akra",0,0,0,0,17410,155517,0,0,80.28160570620514,27482.579194215785
"#119.","Benin City (agglomeration?)","",0,0,0,50223,295943,552403,0,0,1440.0919134738954,17440.414167444484
"#120.","Bissau","",0,0,0,0,0,0,78116.99999999999,674444,83,8126
